Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.0837952696	0.0837952696	0.0837952696	0.0837952696	0	0	0	0	0	0	3
2	1	0	0.05	0.0837941848	0.0837947272	0.0837941848	0.0837952696	5.42353476e-07	0	0	0	0	0	3
3	1	0	0.075	0.083794048	0.0837945008	0.083794048	0.0837952696	7.68765251e-07	0	0	0	0	0	3
4	1	0	0.1	0.0837940265	0.0837943822	0.0837940265	0.0837952696	8.87344819e-07	0	0	0	0	0	3
5	1	0	0.125	0.0837940164	0.083794309	0.0837940164	0.0837952696	9.6050606e-07	0	0	0	0	0	3
6	1	0	0.15	0.083794011	0.0837942594	0.083794011	0.0837952696	1.01017451e-06	0	0	0	0	0	3
7	1	0	0.175	0.083794006	0.0837942232	0.083794006	0.0837952696	1.04637665e-06	0	0	0	0	0	3
8	1	0	0.2	0.0837940042	0.0837941958	0.0837940042	0.0837952696	1.07375403e-06	0	0	0	0	0	3
9	1	0	0.225	0.0837940017	0.0837941742	0.0837940017	0.0837952696	1.09532354e-06	0	0	0	0	0	3
10	2	0	0.25	0.0837940015	0.083794157	0.0837940015	0.0837952696	1.11259373e-06	0	0	0	0	0	3
11	2	0	0.275	0.0837939999	0.0837941427	0.0837939999	0.0837952696	1.12687161e-06	0	0	0	0	0	3
12	2	0	0.3	0.0837939995	0.0837941307	0.0837939995	0.0837952696	1.13880757e-06	0	0	0	0	0	3
13	2	0	0.325	0.0837939986	0.0837941206	0.0837939986	0.0837952696	1.14896962e-06	0	0	0	0	0	3
14	2	0	0.35	0.083793998	0.0837941118	0.083793998	0.0837952696	1.15772777e-06	0	0	0	0	0	3
15	2	0	0.375	0.0837939969	0.0837941042	0.0837939969	0.0837952696	1.16539277e-06	0	0	0	0	0	3
16	2	0	0.4	0.0837939955	0.0837940974	0.0837939955	0.0837952696	1.17218167e-06	0	0	0	0	0	3
17	2	0	0.425	0.0837939944	0.0837940913	0.0837939944	0.0837952696	1.17823736e-06	0	0	0	0	0	3
18	2	0	0.45	0.0837939932	0.0837940859	0.0837939932	0.0837952696	1.18368915e-06	0	0	0	0	0	3
19	3	0	0.475	0.083793992	0.0837940809	0.083793992	0.0837952696	1.18862901e-06	0	0	0	0	0	3
20	3	0	0.5	0.0837939912	0.0837940764	0.0837939912	0.0837952696	1.19311659e-06	0	0	0	0	0	3
21	3	0	0.525	0.0837939901	0.0837940125	0.0837939901	0.0837941848	1.94790021e-07	0	0	0	0	0	3
22	3	0	0.55	0.0837939895	0.0837940027	0.0837939895	0.083794048	5.84494191e-08	0	0	0	0	0	3
23	3	0	0.575	0.0837939894	0.0837939998	0.0837939894	0.0837940265	3.7109008e-08	0	0	0	0	0	3
24	3	0	0.6	0.0837939893	0.0837939979	0.0837939893	0.0837940164	2.70572035e-08	0	0	0	0	0	3
