Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.0120414597	0.0120414597	0.0120414597	0.0120414597	0	0	0	0	0	0	3
2	1	0	0.05	0.012316674	0.0121790668	0.0120414597	0.012316674	0.000137607132	0	0	0	0	0	3
3	1	0	0.075	0.012261315	0.0122064829	0.0120414597	0.012316674	0.000165023199	0	0	0	0	0	3
4	1	0	0.1	0.0122898914	0.012227335	0.0120414597	0.012316674	0.000185875309	0	0	0	0	0	3
5	1	0	0.125	0.0123120269	0.0122442734	0.0120414597	0.012316674	0.000202813689	0	0	0	0	0	3
6	1	0	0.15	0.0123703292	0.0122652827	0.0120414597	0.0123703292	0.000223822985	0	0	0	0	0	3
7	1	0	0.175	0.0124054524	0.0122853069	0.0120414597	0.0124054524	0.000243847226	0	0	0	0	0	3
8	1	0	0.2	0.0124561443	0.0123066616	0.0120414597	0.0124561443	0.000265201893	0	0	0	0	0	3
9	1	0	0.225	0.0124889836	0.0123269196	0.0120414597	0.0124889836	0.000285459894	0	0	0	0	0	3
10	2	0	0.25	0.0125353542	0.0123477631	0.0120414597	0.0125353542	0.000306303356	0	0	0	0	0	3
11	2	0	0.275	0.0125818915	0.0123690475	0.0120414597	0.0125818915	0.000327587754	0	0	0	0	0	3
12	2	0	0.3	0.0126359108	0.0123912861	0.0120414597	0.0126359108	0.000349826367	0	0	0	0	0	3
13	2	0	0.325	0.0126836061	0.0124137722	0.0120414597	0.0126836061	0.000372312523	0	0	0	0	0	3
14	2	0	0.35	0.0127364816	0.0124368229	0.0120414597	0.0127364816	0.000395363192	0	0	0	0	0	3
15	2	0	0.375	0.0127847671	0.0124600192	0.0120414597	0.0127847671	0.000418559472	0	0	0	0	0	3
16	2	0	0.4	0.0128551226	0.0124847132	0.0120414597	0.0128551226	0.000443253436	0	0	0	0	0	3
17	2	0	0.425	0.0129196846	0.0125102997	0.0120414597	0.0129196846	0.000468839994	0	0	0	0	0	3
18	2	0	0.45	0.0129862107	0.0125367392	0.0120414597	0.0129862107	0.000495279497	0	0	0	0	0	3
19	3	0	0.475	0.0130457836	0.012563531	0.0120414597	0.0130457836	0.000522071307	0	0	0	0	0	3
20	3	0	0.5	0.0131025106	0.01259048	0.0120414597	0.0131025106	0.000549020288	0	0	0	0	0	3
21	3	0	0.525	0.0131728496	0.0126470495	0.012261315	0.0131728496	0.00046798265	0	0	0	0	0	3
22	3	0	0.55	0.0132291823	0.0126926749	0.012261315	0.0132291823	0.000486191998	0	0	0	0	0	3
23	3	0	0.575	0.0132747294	0.0127433456	0.0122898914	0.0132747294	0.000516010606	0	0	0	0	0	3
24	3	0	0.6	0.0133091493	0.0127943085	0.0123120269	0.0133091493	0.000550035125	0	0	0	0	0	3
25	3	0	0.625	0.0133389579	0.0128456551	0.0123703292	0.0133389579	0.00058037238	0	0	0	0	0	3
26	3	0	0.65	0.0133734379	0.0128958105	0.0124054524	0.0133734379	0.000610503577	0	0	0	0	0	3
27	3	0	0.675	0.0134006924	0.0129455725	0.0124561443	0.0134006924	0.000638910911	0	0	0	0	0	3
28	4	0	0.7	0.0134212615	0.0129938284	0.0124889836	0.0134212615	0.000666908769	0	0	0	0	0	3
29	4	0	0.725	0.0134373501	0.0130412467	0.0125353542	0.0134373501	0.000693483633	0	0	0	0	0	3
