Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-1.9735587e-13	-1.9735587e-13	-1.9735587e-13	-1.9735587e-13	0	0	0	0	0	0	3
2	1	0	0.05	2.68099616e-06	1.34049798e-06	-1.9735587e-13	2.68099616e-06	1.34049818e-06	0	0	0	0	0	3
3	1	0	0.075	-7.095942e-07	6.5713392e-07	-7.095942e-07	2.68099616e-06	1.34049818e-06	0	0	0	0	0	3
4	1	0	0.1	-3.82533106e-06	-4.63482326e-07	-3.82533106e-06	2.68099616e-06	1.80398031e-06	0	0	0	0	0	3
5	1	0	0.125	-4.85809513e-06	-1.34240489e-06	-4.85809513e-06	2.68099616e-06	2.68290287e-06	0	0	0	0	0	3
6	1	0	0.15	-4.08151074e-06	-1.79892253e-06	-4.85809513e-06	2.68099616e-06	3.13942051e-06	0	0	0	0	0	3
7	1	0	0.175	-5.74575141e-06	-2.36275523e-06	-5.74575141e-06	2.68099616e-06	3.7032532e-06	0	0	0	0	0	3
8	1	0	0.2	-4.90741835e-06	-2.68083812e-06	-5.74575141e-06	2.68099616e-06	4.0213361e-06	0	0	0	0	0	3
9	1	0	0.225	-5.64957324e-06	-3.01069757e-06	-5.74575141e-06	2.68099616e-06	4.35119555e-06	0	0	0	0	0	3
10	2	0	0.25	-4.92121465e-06	-3.20174928e-06	-5.74575141e-06	2.68099616e-06	4.54224726e-06	0	0	0	0	0	3
11	2	0	0.275	-6.05887573e-06	-3.46148805e-06	-6.05887573e-06	2.68099616e-06	4.80198603e-06	0	0	0	0	0	3
12	2	0	0.3	-3.91426986e-06	-3.49921987e-06	-6.05887573e-06	2.68099616e-06	4.83971785e-06	0	0	0	0	0	3
13	2	0	0.325	-6.07133215e-06	-3.69707466e-06	-6.07133215e-06	2.68099616e-06	5.03757264e-06	0	0	0	0	0	3
14	2	0	0.35	-4.19675054e-06	-3.73276579e-06	-6.07133215e-06	2.68099616e-06	5.07326377e-06	0	0	0	0	0	3
15	2	0	0.375	-6.4682954e-06	-3.91513443e-06	-6.4682954e-06	2.68099616e-06	5.25563241e-06	0	0	0	0	0	3
16	2	0	0.4	-4.39974957e-06	-3.94542288e-06	-6.4682954e-06	2.68099616e-06	5.28592086e-06	0	0	0	0	0	3
17	2	0	0.425	-5.84102086e-06	-4.05692864e-06	-6.4682954e-06	2.68099616e-06	5.39742662e-06	0	0	0	0	0	3
18	2	0	0.45	-5.32828329e-06	-4.12755946e-06	-6.4682954e-06	2.68099616e-06	5.46805744e-06	0	0	0	0	0	3
19	3	0	0.475	-5.74415147e-06	-4.21264325e-06	-6.4682954e-06	2.68099616e-06	5.55314123e-06	0	0	0	0	0	3
20	3	0	0.5	-5.24161335e-06	-4.26409175e-06	-6.4682954e-06	2.68099616e-06	5.60458973e-06	0	0	0	0	0	3
21	3	0	0.525	-4.81981475e-06	-4.50508248e-06	-6.4682954e-06	2.68099616e-06	5.84558046e-06	0	0	0	0	0	3
22	3	0	0.55	-5.03853402e-06	-4.89105899e-06	-6.4682954e-06	-7.095942e-07	5.54819291e-06	0	0	0	0	0	3
23	3	0	0.575	-4.75036986e-06	-5.09309777e-06	-6.4682954e-06	-3.82533106e-06	2.64296433e-06	0	0	0	0	0	3
24	3	0	0.6	-4.28529772e-06	-5.1160961e-06	-6.4682954e-06	-3.91426986e-06	2.55402553e-06	0	0	0	0	0	3
25	3	0	0.625	-5.08042085e-06	-5.12721239e-06	-6.4682954e-06	-3.91426986e-06	2.55402553e-06	0	0	0	0	0	3
26	3	0	0.65	-4.06365124e-06	-5.12631942e-06	-6.4682954e-06	-3.91426986e-06	2.55402553e-06	0	0	0	0	0	3
