Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1.06080002e-13	1.06080002e-13	1.06080002e-13	1.06080002e-13	0	0	0	0	0	0	3
2	1	0	0.05	-5.56278353e-07	-2.78139124e-07	-5.56278353e-07	1.06080002e-13	2.7813923e-07	0	0	0	0	0	3
3	1	0	0.075	-2.92054112e-06	-1.15893979e-06	-2.92054112e-06	1.06080002e-13	1.1589399e-06	0	0	0	0	0	3
4	1	0	0.1	-4.05048548e-06	-1.88182621e-06	-4.05048548e-06	1.06080002e-13	1.88182632e-06	0	0	0	0	0	3
5	1	0	0.125	-6.01935111e-06	-2.70933119e-06	-6.01935111e-06	1.06080002e-13	2.7093313e-06	0	0	0	0	0	3
6	1	0	0.15	-6.3975883e-06	-3.32404071e-06	-6.3975883e-06	1.06080002e-13	3.32404082e-06	0	0	0	0	0	3
7	1	0	0.175	-6.29989775e-06	-3.74916314e-06	-6.3975883e-06	1.06080002e-13	3.74916325e-06	0	0	0	0	0	3
8	1	0	0.2	-6.14565291e-06	-4.04872437e-06	-6.3975883e-06	1.06080002e-13	4.04872447e-06	0	0	0	0	0	3
9	1	0	0.225	-6.27003999e-06	-4.29553721e-06	-6.3975883e-06	1.06080002e-13	4.29553732e-06	0	0	0	0	0	3
10	2	0	0.25	-6.05621487e-06	-4.47160498e-06	-6.3975883e-06	1.06080002e-13	4.47160509e-06	0	0	0	0	0	3
11	2	0	0.275	-4.94329086e-06	-4.51448551e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
12	2	0	0.3	-3.88464689e-06	-4.46199896e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
13	2	0	0.325	-4.16990081e-06	-4.43952987e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
14	2	0	0.35	-3.14777568e-06	-4.34726172e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
15	2	0	0.375	-2.67191682e-06	-4.23557206e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
16	2	0	0.4	-1.89205385e-06	-4.08910217e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
17	2	0	0.425	-2.03136387e-06	-3.96805874e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
18	2	0	0.45	-1.69648327e-06	-3.8418601e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
19	3	0	0.475	-1.81518611e-06	-3.73519305e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
20	3	0	0.5	-1.21233506e-06	-3.60905015e-06	-6.3975883e-06	1.06080002e-13	4.51448562e-06	0	0	0	0	0	3
21	3	0	0.525	-1.89112491e-06	-3.7036064e-06	-6.3975883e-06	-5.56278353e-07	4.23634639e-06	0	0	0	0	0	3
22	3	0	0.55	-6.34145528e-07	-3.70749976e-06	-6.3975883e-06	-6.34145528e-07	3.35554572e-06	0	0	0	0	0	3
23	3	0	0.575	-8.83913693e-07	-3.60566839e-06	-6.3975883e-06	-6.34145528e-07	2.6326593e-06	0	0	0	0	0	3
24	3	0	0.6	-2.77955307e-07	-3.41704188e-06	-6.3975883e-06	-2.77955307e-07	1.80515432e-06	0	0	0	0	0	3
25	3	0	0.625	-1.6406462e-06	-3.19810663e-06	-6.3975883e-06	-2.77955307e-07	1.31637888e-06	0	0	0	0	0	3
26	3	0	0.65	-7.87699931e-07	-2.91761222e-06	-6.29989775e-06	-2.77955307e-07	1.5968733e-06	0	0	0	0	0	3
27	3	0	0.675	-1.1454271e-06	-2.65988868e-06	-6.27003999e-06	-2.77955307e-07	1.85459683e-06	0	0	0	0	0	3
28	4	0	0.7	-9.79921402e-07	-2.40160211e-06	-6.27003999e-06	-2.77955307e-07	2.11288341e-06	0	0	0	0	0	3
29	4	0	0.725	-2.2454183e-06	-2.20037102e-06	-6.05621487e-06	-2.77955307e-07	2.31411449e-06	0	0	0	0	0	3
30	4	0	0.75	-2.08829043e-07	-1.90800173e-06	-4.94329086e-06	-2.08829043e-07	2.60648378e-06	0	0	0	0	0	3
31	4	0	0.775	-2.26836908e-06	-1.77425564e-06	-4.16990081e-06	-2.08829043e-07	2.68774332e-06	0	0	0	0	0	3
32	4	0	0.8	-9.69741907e-07	-1.62851039e-06	-4.16990081e-06	-2.08829043e-07	2.81101948e-06	0	0	0	0	0	3
33	4	0	0.825	-1.35725372e-06	-1.48787804e-06	-3.14777568e-06	-2.08829043e-07	2.85938368e-06	0	0	0	0	0	3
34	4	0	0.85	-3.27634416e-07	-1.34687098e-06	-2.67191682e-06	-2.08829043e-07	2.46308778e-06	0	0	0	0	0	3
35	4	0	0.875	-1.10985269e-06	-1.26876777e-06	-2.26836908e-06	-2.08829043e-07	2.05954004e-06	0	0	0	0	0	3
36	4	0	0.9	-3.21145218e-07	-1.19022234e-06	-2.26836908e-06	-2.08829043e-07	2.05954004e-06	0	0	0	0	0	3
37	5	0	0.925	-1.74863435e-06	-1.17608586e-06	-2.26836908e-06	-2.08829043e-07	2.05954004e-06	0	0	0	0	0	3
38	5	0	0.95	2.79944723e-07	-1.07726446e-06	-2.26836908e-06	2.79944723e-07	2.5483138e-06	0	0	0	0	0	3
39	5	0	0.975	-1.29182456e-06	-1.05109639e-06	-2.26836908e-06	2.79944723e-07	2.5483138e-06	0	0	0	0	0	3
40	5	0	1	-5.24506949e-07	-1.01670498e-06	-2.26836908e-06	2.79944723e-07	2.5483138e-06	9.37846158e-07	0	36.8	0	0	3
41	5	0	1.025	-9.09639322e-07	-9.676307e-07	-2.26836908e-06	2.79944723e-07	2.5483138e-06	9.37846158e-07	0	36.8	0	0	3
42	5	0	1.05	-2.75908794e-07	-9.49718863e-07	-2.26836908e-06	2.79944723e-07	2.5483138e-06	9.37846158e-07	0	36.8	0	0	3
43	5	0	1.075	-1.54239356e-06	-9.82642857e-07	-2.26836908e-06	2.79944723e-07	2.46732302e-06	9.37846158e-07	0	38	0	0	3
44	5	0	1.1	-2.07917108e-07	-9.45751154e-07	-2.26836908e-06	2.79944723e-07	2.47129073e-06	9.37846158e-07	0	37.9	0	0	3
45	5	0	1.125	-8.63232303e-07	-9.73621487e-07	-2.26836908e-06	2.79944723e-07	2.25235548e-06	9.37846158e-07	0	41.6	0	0	3
46	5	0	1.15	-6.95448204e-07	-9.28612059e-07	-2.26836908e-06	2.79944723e-07	1.98900016e-06	9.37846158e-07	0	47.1	0	0	3
47	6	0	1.175	-6.50473591e-07	-9.22077471e-07	-2.26836908e-06	2.79944723e-07	1.73781121e-06	9.37846158e-07	0	53.9	0	0	3
48	6	0	1.2	-1.09307776e-07	-8.72738456e-07	-2.26836908e-06	2.79944723e-07	1.52886365e-06	9.37846158e-07	0	61.3	0	0	3
49	6	0	1.225	-1.57265128e-06	-9.00963688e-07	-2.26836908e-06	2.79944723e-07	1.32763257e-06	9.37846158e-07	0	70.6	0	0	3
50	6	0	1.25	5.82556763e-07	-7.66298209e-07	-2.26836908e-06	5.82556763e-07	1.14170352e-06	9.37846158e-07	0	82.1	0	0	3
51	6	0	1.275	-1.18849714e-06	-8.12949071e-07	-2.26836908e-06	5.82556763e-07	1.00795743e-06	9.37846158e-07	0	93	0	0	3
52	6	0	1.3	-9.40756601e-07	-7.49729429e-07	-1.74863435e-06	5.82556763e-07	8.78780965e-07	9.37846158e-07	0	100	0	0	3
