Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	2.94415511e-06	2.94415511e-06	2.94415511e-06	2.94415511e-06	0	0	0	0	0	0	3
2	1	0	0.05	0.00177999702	0.000891470589	2.94415511e-06	0.00177999702	0.000888526434	0	0	0	0	0	3
3	1	0	0.075	0.00129091936	0.00102462018	2.94415511e-06	0.00177999702	0.00102167602	0	0	0	0	0	3
4	1	0	0.1	0.0010237562	0.00102440418	2.94415511e-06	0.00177999702	0.00102167602	0	0	0	0	0	3
5	1	0	0.125	0.00106992644	0.00103350864	2.94415511e-06	0.00177999702	0.00103056448	0	0	0	0	0	3
6	1	0	0.15	0.00105859977	0.00103769049	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
7	1	0	0.175	0.00101141274	0.00103393653	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
8	1	0	0.2	0.000983677086	0.0010276541	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
9	1	0	0.225	0.000986714057	0.0010231052	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
10	2	0	0.25	0.000976502263	0.00101844491	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
11	2	0	0.275	0.000979946161	0.00101494502	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
12	2	0	0.3	0.000970143108	0.00101121153	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
13	2	0	0.325	0.000970066612	0.00100804654	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
14	2	0	0.35	0.000966821029	0.00100510186	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
15	2	0	0.375	0.000966661893	0.00100253919	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
16	2	0	0.4	0.00096469002	0.00100017362	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
17	2	0	0.425	0.000963426107	0.000998012001	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
18	2	0	0.45	0.000961764903	0.000995998274	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
19	3	0	0.475	0.00096057672	0.000994133981	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
20	3	0	0.5	0.000958084743	0.000992331519	2.94415511e-06	0.00177999702	0.00103474634	0	0	0	0	0	3
21	3	0	0.525	0.000958180834	0.00104009335	0.000958084743	0.00177999702	0.000148622765	0	0	0	0	0	3
22	3	0	0.55	0.000955615183	0.000998874261	0.000955615183	0.00129091936	4.7761834e-05	0	0	0	0	0	3
23	3	0	0.575	0.00095502515	0.000982079551	0.00095502515	0.00106992644	5.80138026e-05	0	0	0	0	0	3
24	3	0	0.6	0.000954701036	0.000978626793	0.000954701036	0.00106992644	6.14665608e-05	0	0	0	0	0	3
25	3	0	0.625	0.000955007881	0.000972880865	0.000954701036	0.00105859977	6.72124885e-05	0	0	0	0	0	3
26	3	0	0.65	0.000955462826	0.000967724017	0.000954701036	0.00101141274	5.67117003e-05	0	0	0	0	0	3
27	3	0	0.675	0.00095897417	0.000965102089	0.000954701036	0.000986714057	3.20130209e-05	0	0	0	0	0	3
28	4	0	0.7	0.000959807394	0.000963908605	0.000954701036	0.000986714057	3.20130209e-05	0	0	0	0	0	3
29	4	0	0.725	0.00095983776	0.00096256479	0.000954701036	0.000979946161	2.52451258e-05	0	0	0	0	0	3
30	4	0	0.75	0.000959452798	0.000961712316	0.000954701036	0.000979946161	2.52451258e-05	0	0	0	0	0	3
31	4	0	0.775	0.000962803613	0.000960855189	0.000954701036	0.000970143108	1.54420726e-05	0	0	0	0	0	3
32	4	0	0.8	0.000963750463	0.000960535557	0.000954701036	0.000970066612	1.53655762e-05	0	0	0	0	0	3
33	4	0	0.825	0.000965808215	0.000960322637	0.000954701036	0.000966821029	1.21199929e-05	0	0	0	0	0	3
34	4	0	0.85	0.000965349829	0.000960249077	0.000954701036	0.000966661893	1.19608572e-05	0	0	0	0	0	3
35	4	0	0.875	0.000965400732	0.000960186019	0.000954701036	0.000965808215	1.11071796e-05	0	0	0	0	0	3
36	4	0	0.9	0.000966023108	0.000960252673	0.000954701036	0.000966023108	1.1322072e-05	0	0	0	0	0	3
37	5	0	0.925	0.000966335892	0.000960398163	0.000954701036	0.000966335892	1.1634856e-05	0	0	0	0	0	3
38	5	0	0.95	0.000965768372	0.000960598336	0.000954701036	0.000966335892	1.1634856e-05	0	0	0	0	0	3
39	5	0	0.975	0.000966709558	0.000960904978	0.000954701036	0.000966709558	1.20085218e-05	0	0	0	0	0	3
40	5	0	1	0.000965921509	0.000961296816	0.000954701036	0.000966709558	1.20085218e-05	4.72211916e-05	0	100	0	0	3
41	5	0	1.025	0.000966754172	0.000961725483	0.000954701036	0.000966754172	1.20531363e-05	4.72211916e-05	0	100	0	0	3
42	5	0	1.05	0.000966963555	0.000962292902	0.000954701036	0.000966963555	1.22625193e-05	4.72211916e-05	0	100	0	0	3
43	5	0	1.075	0.000966770626	0.000962880176	0.000954701036	0.000966963555	1.22625193e-05	4.72211916e-05	0	100	0	0	3
44	5	0	1.1	0.000965434013	0.000963001787	0.000954701036	0.000966963555	1.22625193e-05	4.72211916e-05	0	100	0	0	3
45	5	0	1.125	0.000967522628	0.000963612339	0.000955007881	0.000967522628	1.25147473e-05	4.72211916e-05	0	100	0	0	3
46	5	0	1.15	0.000966218653	0.000964146185	0.000955462826	0.000967522628	7.53799851e-06	4.72211916e-05	0	100	0	0	3
47	6	0	1.175	0.000966921643	0.000964691843	0.00095897417	0.000967522628	4.91607019e-06	4.72211916e-05	0	100	0	0	3
48	6	0	1.2	0.000967362046	0.000965091266	0.000959452798	0.000967522628	4.90524678e-06	4.72211916e-05	0	100	0	0	3
49	6	0	1.225	0.00096681996	0.000965425197	0.000959452798	0.000967522628	5.23917848e-06	4.72211916e-05	0	100	0	0	3
50	6	0	1.25	0.000966597876	0.000965747108	0.000959452798	0.000967522628	5.56108875e-06	4.72211916e-05	0	100	0	0	3
51	6	0	1.275	0.000967998602	0.000966154051	0.000962803613	0.000967998602	5.19498882e-06	4.72211916e-05	0	100	0	0	3
52	6	0	1.3	0.000966443269	0.000966327368	0.000963750463	0.000967998602	4.24813875e-06	4.72211916e-05	0	100	0	0	3
