Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	5.55636222e-08	5.55636222e-08	5.55636222e-08	5.55636222e-08	0	0	0	0	0	0	3
2	1	0	0.05	7.63698904e-09	3.16003056e-08	7.63698904e-09	5.55636222e-08	2.39633166e-08	0	0	0	0	0	3
3	1	0	0.075	-3.17055318e-09	2.00100194e-08	-3.17055318e-09	5.55636222e-08	3.55536029e-08	0	0	0	0	0	3
4	1	0	0.1	-1.50119582e-09	1.46322156e-08	-3.17055318e-09	5.55636222e-08	4.09314067e-08	0	0	0	0	0	3
5	1	0	0.125	-2.87906583e-09	1.11299593e-08	-3.17055318e-09	5.55636222e-08	4.4433663e-08	0	0	0	0	0	3
6	1	0	0.15	-2.21755185e-10	9.23800688e-09	-3.17055318e-09	5.55636222e-08	4.63256154e-08	0	0	0	0	0	3
7	1	0	0.175	-6.48027894e-11	7.90903407e-09	-3.17055318e-09	5.55636222e-08	4.76545882e-08	0	0	0	0	0	3
8	1	0	0.2	2.21103701e-10	6.94804277e-09	-3.17055318e-09	5.55636222e-08	4.86155795e-08	0	0	0	0	0	3
9	1	0	0.225	-6.07808181e-11	6.16928459e-09	-3.17055318e-09	5.55636222e-08	4.93943376e-08	0	0	0	0	0	3
10	2	0	0.25	2.72632183e-10	5.57961935e-09	-3.17055318e-09	5.55636222e-08	4.99840029e-08	0	0	0	0	0	3
11	2	0	0.275	3.30181506e-10	5.10239773e-09	-3.17055318e-09	5.55636222e-08	5.04612245e-08	0	0	0	0	0	3
12	2	0	0.3	-1.19198664e-10	4.6672647e-09	-3.17055318e-09	5.55636222e-08	5.08963575e-08	0	0	0	0	0	3
13	2	0	0.325	2.86440904e-10	4.33027825e-09	-3.17055318e-09	5.55636222e-08	5.1233344e-08	0	0	0	0	0	3
14	2	0	0.35	3.89960198e-10	4.04882696e-09	-3.17055318e-09	5.55636222e-08	5.15147953e-08	0	0	0	0	0	3
15	2	0	0.375	-1.58303889e-09	3.67336924e-09	-3.17055318e-09	5.55636222e-08	5.1890253e-08	0	0	0	0	0	3
16	2	0	0.4	-7.99831053e-10	3.39379422e-09	-3.17055318e-09	5.55636222e-08	5.2169828e-08	0	0	0	0	0	3
17	2	0	0.425	-2.1706643e-09	3.06647313e-09	-3.17055318e-09	5.55636222e-08	5.24971491e-08	0	0	0	0	0	3
18	2	0	0.45	-1.02305025e-09	2.83927739e-09	-3.17055318e-09	5.55636222e-08	5.27243449e-08	0	0	0	0	0	3
19	3	0	0.475	-1.41898233e-09	2.61515846e-09	-3.17055318e-09	5.55636222e-08	5.29484638e-08	0	0	0	0	0	3
20	3	0	0.5	-1.18515326e-09	2.42514287e-09	-3.17055318e-09	5.55636222e-08	5.31384794e-08	0	0	0	0	0	3
21	3	0	0.525	-7.91060497e-10	-3.92591267e-10	-3.17055318e-09	7.63698904e-09	1.08075422e-08	0	0	0	0	0	3
22	3	0	0.55	-1.08377861e-09	-8.2862965e-10	-3.17055318e-09	3.89960198e-10	3.56051338e-09	0	0	0	0	0	3
23	3	0	0.575	-1.12236148e-09	-7.26220065e-10	-2.87906583e-09	3.89960198e-10	3.26902603e-09	0	0	0	0	0	3
24	3	0	0.6	-5.68740751e-10	-6.79597311e-10	-2.87906583e-09	3.89960198e-10	3.26902603e-09	0	0	0	0	0	3
25	3	0	0.625	-3.79119183e-10	-5.54599979e-10	-2.1706643e-09	3.89960198e-10	2.5606245e-09	0	0	0	0	0	3
26	3	0	0.65	-3.27920303e-10	-5.59908234e-10	-2.1706643e-09	3.89960198e-10	2.5606245e-09	0	0	0	0	0	3
27	3	0	0.675	5.69314585e-11	-5.53821522e-10	-2.1706643e-09	3.89960198e-10	2.5606245e-09	0	0	0	0	0	3
