Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1.68225942e-05	1.68225942e-05	1.68225942e-05	1.68225942e-05	0	0	0	0	0	0	3
2	1	0	0.05	2.18569463e-05	1.93397702e-05	1.68225942e-05	2.18569463e-05	2.51717604e-06	0	0	0	0	0	3
3	1	0	0.075	-1.91209827e-05	6.51951924e-06	-1.91209827e-05	2.18569463e-05	1.2820251e-05	0	0	0	0	0	3
4	1	0	0.1	1.76456757e-05	9.30105837e-06	-1.91209827e-05	2.18569463e-05	1.2820251e-05	0	0	0	0	0	3
5	1	0	0.125	-2.21526695e-05	3.01031279e-06	-2.21526695e-05	2.18569463e-05	1.63294574e-05	0	0	0	0	0	3
6	1	0	0.15	-7.98243084e-06	1.17818885e-06	-2.21526695e-05	2.18569463e-05	1.81615814e-05	0	0	0	0	0	3
7	1	0	0.175	-1.44252448e-05	-1.0508731e-06	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
8	2	0	0.2	6.29179015e-06	-1.33040191e-07	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
9	2	0	0.225	-2.11411044e-06	-3.53159108e-07	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
10	2	0	0.25	7.05535399e-07	-2.47289657e-07	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
11	2	0	0.275	6.12791597e-07	-1.69100452e-07	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
12	2	0	0.3	4.71189515e-07	-1.15742955e-07	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
13	2	0	0.325	-7.83538869e-06	-7.09561857e-07	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
14	2	0	0.35	5.4534791e-06	-2.69344646e-07	-2.21526695e-05	2.18569463e-05	2.03906433e-05	0	0	0	0	0	3
15	2	0	0.375	-1.53821624e-05	-1.27686583e-06	-2.21526695e-05	2.18569463e-05	2.06166361e-05	0	0	0	0	0	3
16	2	0	0.4	-7.36082597e-08	-1.20166223e-06	-2.21526695e-05	2.18569463e-05	2.06166361e-05	0	0	0	0	0	3
17	3	0	0.425	-1.74715723e-05	-2.15871577e-06	-2.21526695e-05	2.18569463e-05	2.1498486e-05	0	0	0	0	0	3
18	3	0	0.45	1.30597216e-07	-2.03153171e-06	-2.21526695e-05	2.18569463e-05	2.1498486e-05	0	0	0	0	0	3
19	3	0	0.475	-7.39257648e-06	-2.31369196e-06	-2.21526695e-05	2.18569463e-05	2.16534622e-05	0	0	0	0	0	3
20	3	0	0.5	1.79269835e-06	-2.10837245e-06	-2.21526695e-05	2.18569463e-05	2.16534622e-05	0	0	0	0	0	3
21	3	0	0.525	4.74148257e-06	-2.71242803e-06	-2.21526695e-05	2.18569463e-05	2.20521983e-05	0	0	0	0	0	3
22	3	0	0.55	1.1434243e-05	-3.23356319e-06	-2.21526695e-05	1.76456757e-05	1.25346216e-05	0	0	0	0	0	3
23	3	0	0.575	5.71047846e-06	-1.99199013e-06	-2.21526695e-05	1.76456757e-05	1.25346216e-05	0	0	0	0	0	3
24	3	0	0.6	6.62042914e-06	-2.54325246e-06	-2.21526695e-05	1.1434243e-05	6.24387598e-06	0	0	0	0	0	3
25	3	0	0.625	-5.64964918e-07	-1.46386723e-06	-1.74715723e-05	1.1434243e-05	4.41175204e-06	0	0	0	0	0	3
26	4	0	0.65	6.93324289e-06	-7.18083545e-07	-1.74715723e-05	1.1434243e-05	3.11782024e-06	0	0	0	0	0	3
27	4	0	0.675	-4.69959748e-06	-2.31801179e-07	-1.74715723e-05	1.1434243e-05	3.11782024e-06	0	0	0	0	0	3
28	4	0	0.7	-1.51288414e-06	-6.22034893e-07	-1.74715723e-05	1.1434243e-05	3.11782024e-06	0	0	0	0	0	3
29	4	0	0.725	-8.46633103e-06	-9.39645923e-07	-1.74715723e-05	1.1434243e-05	3.11782024e-06	0	0	0	0	0	3
30	4	0	0.75	-2.14143585e-06	-1.08199449e-06	-1.74715723e-05	1.1434243e-05	3.11782024e-06	0	0	0	0	0	3
31	4	0	0.775	-3.62807185e-06	-1.29403766e-06	-1.74715723e-05	1.1434243e-05	3.11782024e-06	0	0	0	0	0	3
32	4	0	0.8	-8.470639e-08	-1.32183245e-06	-1.74715723e-05	1.1434243e-05	3.00176201e-06	0	0	0	0	0	3
33	4	0	0.825	-5.21686959e-06	-1.1909065e-06	-1.74715723e-05	1.1434243e-05	3.00176201e-06	0	0	0	0	0	3
34	4	0	0.85	-6.01763831e-07	-1.49366864e-06	-1.74715723e-05	1.1434243e-05	3.00176201e-06	0	0	0	0	0	3
35	4	0	0.875	-3.7650744e-06	-9.12814246e-07	-1.74715723e-05	1.1434243e-05	3.00176201e-06	0	0	0	0	0	3
36	5	0	0.9	-1.2892887e-06	-9.73598268e-07	-1.74715723e-05	1.1434243e-05	3.00176201e-06	0	0	0	0	0	3
37	5	0	0.925	-3.23121744e-06	-2.61580523e-07	-8.46633103e-06	1.1434243e-05	3.00176201e-06	0	0	0	0	0	3
38	5	0	0.95	-6.85582108e-07	-3.02389489e-07	-8.46633103e-06	1.1434243e-05	3.00176201e-06	0	0	0	0	0	3
39	5	0	0.975	-2.11271291e-06	-3.83963107e-08	-8.46633103e-06	1.1434243e-05	3.19516688e-06	0	0	0	0	0	3
40	5	0	1	-1.83447119e-06	-2.19754788e-07	-8.46633103e-06	1.1434243e-05	3.19516688e-06	5.64499729e-06	0	100	0	0	3
41	5	0	1.025	-1.12297834e-06	-5.12977833e-07	-8.46633103e-06	1.1434243e-05	3.19516688e-06	5.64499729e-06	0	100	0	0	3
42	5	0	1.05	-1.24046134e-06	-1.14671305e-06	-8.46633103e-06	6.93324289e-06	2.50485615e-06	5.64499729e-06	0	100	0	0	3
43	5	0	1.075	-1.12681543e-06	-1.48857775e-06	-8.46633103e-06	6.93324289e-06	2.50485615e-06	5.64499729e-06	0	100	0	0	3
44	5	0	1.1	-1.44162e-06	-1.48634166e-06	-8.46633103e-06	6.93324289e-06	2.50485615e-06	5.64499729e-06	0	100	0	0	3
45	6	0	1.125	-1.42387737e-06	-1.86940388e-06	-8.46633103e-06	6.93324289e-06	1.83100757e-06	5.64499729e-06	0	100	0	0	3
46	6	0	1.15	-1.07628193e-06	-1.89375231e-06	-8.46633103e-06	6.93324289e-06	1.855356e-06	5.64499729e-06	0	100	0	0	3
47	6	0	1.175	-1.85240799e-06	-2.31211663e-06	-8.46633103e-06	-8.470639e-08	2.27372032e-06	5.64499729e-06	0	100	0	0	3
48	6	0	1.2	-7.41965986e-07	-2.12365799e-06	-8.46633103e-06	-8.470639e-08	2.27372032e-06	5.64499729e-06	0	100	0	0	3
49	6	0	1.225	-1.00068652e-06	-2.09926763e-06	-8.46633103e-06	-8.470639e-08	2.27372032e-06	5.64499729e-06	0	100	0	0	3
50	6	0	1.25	-7.97518157e-07	-1.73408606e-06	-5.21686959e-06	-8.470639e-08	2.27372032e-06	5.64499729e-06	0	100	0	0	3
51	6	0	1.275	-1.27751874e-06	-1.69294715e-06	-5.21686959e-06	-8.470639e-08	2.27372032e-06	5.64499729e-06	0	100	0	0	3
52	6	0	1.3	-8.76495712e-07	-1.56191972e-06	-5.21686959e-06	-8.470639e-08	2.27372032e-06	5.64499729e-06	0	100	0	0	3
