Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	0.00355845243	0.00355845243	0.00355845243	0.00355845243	0	0	0	0	0	0	3
2	1	0	0.05	0.00461175635	0.00408510439	0.00355845243	0.00461175635	0.00052665196	0	0	0	0	0	3
3	1	0	0.075	0.00311059677	0.00376026851	0.00311059677	0.00461175635	0.00052665196	0	0	0	0	0	3
4	1	0	0.1	0.00252296833	0.00345094347	0.00252296833	0.00461175635	0.000634160919	0	0	0	0	0	3
5	1	0	0.125	0.00243627059	0.00324800889	0.00243627059	0.00461175635	0.000837095494	0	0	0	0	0	3
6	1	0	0.15	0.00242619628	0.00311104012	0.00242619628	0.00461175635	0.000974064263	0	0	0	0	0	3
7	1	0	0.175	0.00236354712	0.00300425541	0.00236354712	0.00461175635	0.00108084898	0	0	0	0	0	3
8	1	0	0.2	0.00234581201	0.00292194998	0.00234581201	0.00461175635	0.0011631544	0	0	0	0	0	3
9	1	0	0.225	0.00234959149	0.0028583546	0.00234581201	0.00461175635	0.00122674979	0	0	0	0	0	3
10	1	0	0.25	0.0023491606	0.0028074352	0.00234581201	0.00461175635	0.00127766919	0	0	0	0	0	3
11	2	0	0.275	0.00234418718	0.00276532174	0.00234418718	0.00461175635	0.00131978265	0	0	0	0	0	3
12	2	0	0.3	0.00234037496	0.00272990951	0.00234037496	0.00461175635	0.00135519488	0	0	0	0	0	3
13	2	0	0.325	0.00234139462	0.00270002375	0.00234037496	0.00461175635	0.00138508064	0	0	0	0	0	3
14	2	0	0.35	0.00234677425	0.00267479164	0.00234037496	0.00461175635	0.00141031274	0	0	0	0	0	3
15	2	0	0.375	0.00234284103	0.0026526616	0.00234037496	0.00461175635	0.00143244279	0	0	0	0	0	3
16	2	0	0.4	0.0023399041	0.00263311426	0.0023399041	0.00461175635	0.00145199013	0	0	0	0	0	3
17	2	0	0.425	0.00233159147	0.00261537762	0.00233159147	0.00461175635	0.00146972676	0	0	0	0	0	3
18	2	0	0.45	0.00233092593	0.00259957475	0.00233092593	0.00461175635	0.00148552964	0	0	0	0	0	3
19	3	0	0.475	0.00232668151	0.00258521195	0.00232668151	0.00461175635	0.00149989244	0	0	0	0	0	3
20	3	0	0.5	0.00232309566	0.00257210613	0.00232309566	0.00461175635	0.00151299825	0	0	0	0	0	3
21	3	0	0.525	0.00231983775	0.0025101754	0.00231983775	0.00461175635	0.00157492899	0	0	0	0	0	3
22	3	0	0.55	0.00231743364	0.00239545926	0.00231743364	0.00311059677	0.000793163129	0	0	0	0	0	3
23	3	0	0.575	0.00231457457	0.00235565815	0.00231457457	0.00252296833	0.000208393762	0	0	0	0	0	3
24	3	0	0.6	0.00231119336	0.00234506941	0.00231119336	0.00243627059	0.000125077228	0	0	0	0	0	3
25	3	0	0.625	0.00230991448	0.0023387516	0.00230991448	0.00242619628	0.000116281799	0	0	0	0	0	3
26	3	0	0.65	0.00231090969	0.00233298727	0.00230991448	0.00236354712	5.36326457e-05	0	0	0	0	0	3
27	3	0	0.675	0.00231309995	0.00233046491	0.00230991448	0.00234959149	3.96770152e-05	0	0	0	0	0	3
28	4	0	0.7	0.00231307954	0.00232882829	0.00230991448	0.00234959149	3.96770152e-05	0	0	0	0	0	3
29	4	0	0.725	0.00231303822	0.00232700063	0.00230991448	0.0023491606	3.92461193e-05	0	0	0	0	0	3
30	4	0	0.75	0.00231187493	0.00232513634	0.00230991448	0.00234677425	3.68597753e-05	0	0	0	0	0	3
31	4	0	0.775	0.00231364171	0.00232360907	0.00230991448	0.00234677425	3.68597753e-05	0	0	0	0	0	3
32	4	0	0.8	0.00231510953	0.0023223458	0.00230991448	0.00234677425	3.68597753e-05	0	0	0	0	0	3
33	4	0	0.825	0.00231571541	0.00232106184	0.00230991448	0.00234677425	3.68597753e-05	0	0	0	0	0	3
34	4	0	0.85	0.00231525593	0.00231948592	0.00230991448	0.00234284103	3.29265485e-05	0	0	0	0	0	3
35	4	0	0.875	0.00231652244	0.00231816999	0.00230991448	0.0023399041	2.99896187e-05	0	0	0	0	0	3
36	4	0	0.9	0.00231512376	0.00231693097	0.00230991448	0.00233159147	2.16769886e-05	0	0	0	0	0	3
37	5	0	0.925	0.00231718327	0.00231621056	0.00230991448	0.00233092593	2.1011452e-05	0	0	0	0	0	3
38	5	0	0.95	0.00231621893	0.00231547521	0.00230991448	0.00232668151	1.67670345e-05	0	0	0	0	0	3
39	5	0	0.975	0.0023169507	0.00231498867	0.00230991448	0.00232309566	1.3181179e-05	0	0	0	0	0	3
40	5	0	1	0.00231570296	0.00231461904	0.00230991448	0.00231983775	9.92327579e-06	0.000113299747	0	100	0	0	3
41	5	0	1.025	0.00231692642	0.00231447347	0.00230991448	0.00231743364	7.51915997e-06	0.000113299747	0	100	0	0	3
42	5	0	1.05	0.00231563576	0.00231438358	0.00230991448	0.00231718327	7.26878677e-06	0.000113299747	0	100	0	0	3
43	5	0	1.075	0.00231658982	0.00231448434	0.00230991448	0.00231718327	7.26878677e-06	0.000113299747	0	100	0	0	3
44	5	0	1.1	0.00231538147	0.00231452706	0.00230991448	0.00231718327	7.26878677e-06	0.000113299747	0	100	0	0	3
45	5	0	1.125	0.0023165262	0.002314781	0.00230991448	0.00231718327	7.26878677e-06	0.000113299747	0	100	0	0	3
46	5	0	1.15	0.00231643179	0.00231509135	0.00231090969	0.00231718327	6.27357148e-06	0.000113299747	0	100	0	0	3
47	6	0	1.175	0.00231755825	0.00231540795	0.00231187493	0.00231755825	5.68331703e-06	0.000113299747	0	100	0	0	3
48	6	0	1.2	0.00231452774	0.00231547594	0.00231187493	0.00231755825	5.68331703e-06	0.000113299747	0	100	0	0	3
49	6	0	1.225	0.00231649184	0.00231563843	0.00231187493	0.00231755825	5.68331703e-06	0.000113299747	0	100	0	0	3
50	6	0	1.25	0.00231628353	0.00231579297	0.00231187493	0.00231755825	5.68331703e-06	0.000113299747	0	100	0	0	3
51	6	0	1.275	0.00231754954	0.00231606319	0.00231364171	0.00231755825	3.91653995e-06	0.000113299747	0	100	0	0	3
52	6	0	1.3	0.00231480866	0.00231611876	0.00231452774	0.00231755825	3.03050537e-06	0.000113299747	0	100	0	0	3
53	6	0	1.325	0.00231656074	0.00231618786	0.00231452774	0.00231755825	3.03050537e-06	0.000113299747	0	100	0	0	3
54	6	0	1.35	0.0023157718	0.00231619055	0.00231452774	0.00231755825	3.03050537e-06	0.000113299747	0	100	0	0	3
55	6	0	1.375	0.00231721527	0.00231628385	0.00231452774	0.00231755825	3.03050537e-06	0.000113299747	0	100	0	0	3
56	7	0	1.4	0.00231518915	0.00231622036	0.00231452774	0.00231755825	2.54739655e-06	0.000113299747	0	100	0	0	3
57	7	0	1.425	0.00231623313	0.00231627319	0.00231452774	0.00231755825	1.90027403e-06	0.000113299747	0	100	0	0	3
58	7	0	1.45	0.00231617848	0.00231622534	0.00231452774	0.00231755825	1.90027403e-06	0.000113299747	0	100	0	0	3
59	7	0	1.475	0.00231663863	0.00231624533	0.00231452774	0.00231755825	1.90027403e-06	0.000113299747	0	100	0	0	3
60	7	0	1.5	0.00231507624	0.00231615607	0.00231452774	0.00231755825	1.90027403e-06	0.000113299747	0	100	0	0	3
61	7	0	1.525	0.00231557022	0.00231614975	0.00231452774	0.00231755825	1.90027403e-06	0.000113299747	0	100	0	0	3
62	7	0	1.55	0.00231588499	0.00231610015	0.00231452774	0.00231755825	1.90027403e-06	0.000113299747	0	100	0	0	3
63	7	0	1.575	0.00231610402	0.00231612245	0.00231452774	0.00231755825	1.79951153e-06	0.000113299747	0	100	0	0	3
64	7	0	1.6	0.00231460819	0.00231602809	0.00231452774	0.00231755825	1.75679102e-06	0.000113299747	0	100	0	0	3
65	7	0	1.625	0.00231524986	0.00231602182	0.00231452774	0.00231755825	1.50284643e-06	0.000113299747	0	100	0	0	3
66	8	0	1.65	0.00231481326	0.00231594025	0.00231452774	0.00231755825	1.19249814e-06	0.000113299747	0	100	0	0	3
