Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.031126524	-0.031126524	-0.031126524	-0.031126524	0	0	0	0	0	0	3
2	1	0	0.05	-0.0311582908	-0.0311424074	-0.0311582908	-0.031126524	1.58833954e-05	0	0	0	0	0	3
3	1	0	0.075	-0.0311866522	-0.0311571557	-0.0311866522	-0.031126524	3.06316798e-05	0	0	0	0	0	3
4	1	0	0.1	-0.0311860012	-0.031164367	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
5	1	0	0.125	-0.0311282251	-0.0311571386	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
6	1	0	0.15	-0.0311481437	-0.0311556395	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
7	1	0	0.175	-0.0311627519	-0.0311566555	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
8	2	0	0.2	-0.0311493227	-0.0311557389	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
9	2	0	0.225	-0.0311425821	-0.0311542771	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
10	2	0	0.25	-0.0311517705	-0.0311540264	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
11	2	0	0.275	-0.0311436951	-0.0311530872	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
12	2	0	0.3	-0.0311450887	-0.0311524207	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
13	2	0	0.325	-0.0311467124	-0.0311519816	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
14	2	0	0.35	-0.031162818	-0.0311527556	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
15	2	0	0.375	-0.0311424457	-0.0311520683	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
16	2	0	0.4	-0.0311399672	-0.031151312	-0.0311866522	-0.031126524	3.78430644e-05	0	0	0	0	0	3
17	3	0	0.425	-0.0311218096	-0.0311495765	-0.0311866522	-0.0311218096	3.78430644e-05	0	0	0	0	0	3
18	3	0	0.45	-0.0311377961	-0.0311489221	-0.0311866522	-0.0311218096	3.78430644e-05	0	0	0	0	0	3
19	3	0	0.475	-0.0311265228	-0.0311477431	-0.0311866522	-0.0311218096	3.78430644e-05	0	0	0	0	0	3
20	3	0	0.5	-0.0311251411	-0.031146613	-0.0311866522	-0.0311218096	3.78430644e-05	0	0	0	0	0	3
21	3	0	0.525	-0.0311183917	-0.0311462064	-0.0311866522	-0.0311183917	2.19596691e-05	0	0	0	0	0	3
22	3	0	0.55	-0.0311220129	-0.0311443925	-0.0311866522	-0.0311183917	1.99745088e-05	0	0	0	0	0	3
23	3	0	0.575	-0.0311207001	-0.0311410949	-0.0311860012	-0.0311183917	2.32721159e-05	0	0	0	0	0	3
24	3	0	0.6	-0.0311300301	-0.0311382964	-0.031162818	-0.0311183917	1.88422699e-05	0	0	0	0	0	3
25	3	0	0.625	-0.0311269681	-0.0311382335	-0.031162818	-0.0311183917	1.84220122e-05	0	0	0	0	0	3
26	4	0	0.65	-0.0311296538	-0.031137309	-0.031162818	-0.0311183917	1.9346505e-05	0	0	0	0	0	3
27	4	0	0.675	-0.0311297681	-0.0311356598	-0.031162818	-0.0311183917	2.00790936e-05	0	0	0	0	0	3
28	4	0	0.7	-0.0311377085	-0.0311350791	-0.031162818	-0.0311183917	1.91979394e-05	0	0	0	0	0	3
