Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	0.0312978603	0.0312978603	0.0312978603	0.0312978603	0	0	0	0	0	0	3
2	1	0	0.05	0.0314256688	0.0313617646	0.0312978603	0.0314256688	6.39042665e-05	0	0	0	0	0	3
3	1	0	0.075	0.0312315235	0.0313183509	0.0312315235	0.0314256688	6.39042665e-05	0	0	0	0	0	3
4	1	0	0.1	0.0312459231	0.0313002439	0.0312315235	0.0314256688	6.39042665e-05	0	0	0	0	0	3
5	1	0	0.125	0.031184507	0.0312770965	0.031184507	0.0314256688	8.46680213e-05	0	0	0	0	0	3
6	1	0	0.15	0.0312154217	0.0312668174	0.031184507	0.0314256688	9.49471587e-05	0	0	0	0	0	3
7	1	0	0.175	0.0312090944	0.0312585713	0.031184507	0.0314256688	0.000103193301	0	0	0	0	0	3
8	1	0	0.2	0.0311951634	0.0312506453	0.031184507	0.0314256688	0.000111119288	0	0	0	0	0	3
9	1	0	0.225	0.0311887033	0.0312437628	0.031184507	0.0314256688	0.000118001725	0	0	0	0	0	3
10	1	0	0.25	0.031212548	0.0312406413	0.031184507	0.0314256688	0.000121123213	0	0	0	0	0	3
11	2	0	0.275	0.0312056996	0.0312374648	0.031184507	0.0314256688	0.000124299733	0	0	0	0	0	3
12	2	0	0.3	0.0311965806	0.0312340578	0.031184507	0.0314256688	0.00012770675	0	0	0	0	0	3
13	2	0	0.325	0.0311930437	0.0312309029	0.031184507	0.0314256688	0.000130861682	0	0	0	0	0	3
14	2	0	0.35	0.0311946674	0.0312283146	0.031184507	0.0314256688	0.000133449932	0	0	0	0	0	3
15	2	0	0.375	0.0311952597	0.031226111	0.031184507	0.0314256688	0.000135653591	0	0	0	0	0	3
16	2	0	0.4	0.0311903439	0.0312238755	0.031184507	0.0314256688	0.000137889031	0	0	0	0	0	3
17	2	0	0.425	0.0311888451	0.0312218149	0.031184507	0.0314256688	0.000139949645	0	0	0	0	0	3
18	2	0	0.45	0.0311978516	0.0312204836	0.031184507	0.0314256688	0.000141280937	0	0	0	0	0	3
19	3	0	0.475	0.0311838265	0.0312185543	0.0311838265	0.0314256688	0.000143210261	0	0	0	0	0	3
20	3	0	0.5	0.0311751699	0.0312163851	0.0311751699	0.0314256688	0.000145379482	0	0	0	0	0	3
21	3	0	0.525	0.0311840163	0.0312106929	0.0311751699	0.0314256688	0.000151071681	0	0	0	0	0	3
22	3	0	0.55	0.031189687	0.0311988938	0.0311751699	0.0312459231	7.07531793e-05	0	0	0	0	0	3
23	3	0	0.575	0.0311753906	0.0311960871	0.0311751699	0.0312459231	7.07531793e-05	0	0	0	0	0	3
24	3	0	0.6	0.0311867076	0.0311931264	0.0311751699	0.0312154217	4.02518349e-05	0	0	0	0	0	3
25	3	0	0.625	0.0311766004	0.031192731	0.0311751699	0.0312154217	4.02518349e-05	0	0	0	0	0	3
26	3	0	0.65	0.0311774625	0.0311908331	0.0311751699	0.031212548	3.73780814e-05	0	0	0	0	0	3
27	3	0	0.675	0.031173173	0.031189037	0.031173173	0.031212548	3.93749322e-05	0	0	0	0	0	3
28	4	0	0.7	0.0311852064	0.0311885392	0.031173173	0.031212548	3.93749322e-05	0	0	0	0	0	3
29	4	0	0.725	0.0311802346	0.0311881157	0.031173173	0.031212548	3.93749322e-05	0	0	0	0	0	3
30	4	0	0.75	0.0311790548	0.0311864411	0.031173173	0.0312056996	3.25265961e-05	0	0	0	0	0	3
31	4	0	0.775	0.0311773418	0.0311850232	0.031173173	0.0311978516	2.46786235e-05	0	0	0	0	0	3
32	4	0	0.8	0.0311793523	0.0311841618	0.031173173	0.0311978516	2.46786235e-05	0	0	0	0	0	3
33	4	0	0.825	0.0311756191	0.0311832905	0.031173173	0.0311978516	2.46786235e-05	0	0	0	0	0	3
34	4	0	0.85	0.031183187	0.0311827165	0.031173173	0.0311978516	2.46786235e-05	0	0	0	0	0	3
