Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	3.0922635e-06	3.0922635e-06	3.0922635e-06	3.0922635e-06	0	0	0	0	0	0	3
2	1	0	0.05	0.00176179699	0.000882444625	3.0922635e-06	0.00176179699	0.000879352361	0	0	0	0	0	3
3	1	0	0.075	0.00108279643	0.000949228561	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
4	1	0	0.1	0.000833008352	0.000920173509	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
5	1	0	0.125	0.000857058649	0.000907550537	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
6	1	0	0.15	0.000871438541	0.000901531871	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
7	1	0	0.175	0.000808122308	0.000888187647	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
8	2	0	0.2	0.000796775908	0.00087676118	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
9	2	0	0.225	0.000800636508	0.000868302883	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
10	2	0	0.25	0.000789944336	0.000860467029	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
11	2	0	0.275	0.000792142628	0.000854255719	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
12	2	0	0.3	0.00078380704	0.000848384996	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
13	2	0	0.325	0.000786337672	0.000843612125	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
14	2	0	0.35	0.000782020718	0.000839212739	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
15	2	0	0.375	0.000781404695	0.000835358869	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
16	2	0	0.4	0.000780833596	0.00083195104	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
17	3	0	0.425	0.000780410963	0.00082891927	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
18	3	0	0.45	0.00077935227	0.000826165548	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
19	3	0	0.475	0.000780039608	0.000823737867	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
20	3	0	0.5	0.000780067275	0.000821554338	3.0922635e-06	0.00176179699	0.000946136297	0	0	0	0	0	3
21	3	0	0.525	0.00078149429	0.000860474439	0.00077935227	0.00176179699	0.000127674223	0	0	0	0	0	3
22	3	0	0.55	0.000782043745	0.000811486777	0.00077935227	0.00108279643	0.000137741784	0	0	0	0	0	3
23	3	0	0.575	0.000783158362	0.000796504873	0.00077935227	0.000871438541	9.2086271e-05	0	0	0	0	0	3
24	3	0	0.6	0.000784062344	0.000794057573	0.00077935227	0.000871438541	9.2086271e-05	0	0	0	0	0	3
25	3	0	0.625	0.000785466763	0.000790477979	0.00077935227	0.000871438541	9.2086271e-05	0	0	0	0	0	3
26	4	0	0.65	0.000787706937	0.000786291398	0.00077935227	0.000808122308	2.87700372e-05	0	0	0	0	0	3
27	4	0	0.675	0.000792686689	0.000785519618	0.00077935227	0.000800636508	2.12842377e-05	0	0	0	0	0	3
28	4	0	0.7	0.000794018643	0.000785381754	0.00077935227	0.000800636508	2.12842377e-05	0	0	0	0	0	3
29	4	0	0.725	0.000793298829	0.00078501487	0.00077935227	0.000794018643	1.46663731e-05	0	0	0	0	0	3
30	4	0	0.75	0.000794119619	0.000785223634	0.00077935227	0.000794119619	1.47673483e-05	0	0	0	0	0	3
31	4	0	0.775	0.00079485535	0.000785359271	0.00077935227	0.00079485535	1.550308e-05	0	0	0	0	0	3
32	4	0	0.8	0.000796573581	0.000785997598	0.00077935227	0.000796573581	1.72213104e-05	0	0	0	0	0	3
33	4	0	0.825	0.000796600663	0.000786510747	0.00077935227	0.000796600663	1.72483931e-05	0	0	0	0	0	3
34	4	0	0.85	0.000797835087	0.000787301466	0.00077935227	0.000797835087	1.8482817e-05	0	0	0	0	0	3
35	4	0	0.875	0.000796106833	0.000788036573	0.00077935227	0.000797835087	1.8482817e-05	0	0	0	0	0	3
36	5	0	0.9	0.000797637563	0.000788876771	0.00077935227	0.000797835087	1.8482817e-05	0	0	0	0	0	3
37	5	0	0.925	0.000797172125	0.000789714829	0.00077935227	0.000797835087	1.8482817e-05	0	0	0	0	0	3
38	5	0	0.95	0.000798669036	0.000790680667	0.000780039608	0.000798669036	1.86294278e-05	0	0	0	0	0	3
39	5	0	0.975	0.000797489788	0.000791553176	0.000780067275	0.000798669036	1.86017609e-05	0	0	0	0	0	3
40	5	0	1	0.000798061816	0.000792452903	0.00078149429	0.000798669036	1.71747462e-05	4.304052e-05	0	100	0	0	3
41	5	0	1.025	0.000797550201	0.000793255699	0.000782043745	0.000798669036	1.66252908e-05	4.304052e-05	0	100	0	0	3
42	5	0	1.05	0.000799030168	0.00079410502	0.000783158362	0.000799030168	1.1490003e-05	4.304052e-05	0	100	0	0	3
43	5	0	1.075	0.000797440391	0.000794819121	0.000784062344	0.000799030168	9.80425105e-06	4.304052e-05	0	100	0	0	3
44	5	0	1.1	0.000798002532	0.000794970712	0.000784062344	0.000799030168	9.95584204e-06	4.304052e-05	0	100	0	0	3
45	6	0	1.125	0.000797678003	0.000795619077	0.000785466763	0.000799030168	1.06042067e-05	4.304052e-05	0	100	0	0	3
46	6	0	1.15	0.000797643718	0.000796198932	0.000787706937	0.000799030168	1.11840618e-05	4.304052e-05	0	100	0	0	3
47	6	0	1.175	0.000797252283	0.000796653472	0.000792686689	0.000799030168	6.34347879e-06	4.304052e-05	0	100	0	0	3
48	6	0	1.2	0.000799265608	0.000796966754	0.000793298829	0.000799265608	5.96677954e-06	4.304052e-05	0	100	0	0	3
49	6	0	1.225	0.000798221761	0.000797166903	0.000793298829	0.000799265608	5.96677954e-06	4.304052e-05	0	100	0	0	3
50	6	0	1.25	0.000799237401	0.000797449692	0.000794119619	0.000799265608	5.14598988e-06	4.304052e-05	0	100	0	0	3
51	6	0	1.275	0.000797503295	0.000797610819	0.00079485535	0.000799265608	4.41025819e-06	4.304052e-05	0	100	0	0	3
52	6	0	1.3	0.000798756539	0.00079779659	0.000796106833	0.000799265608	3.15877556e-06	4.304052e-05	0	100	0	0	3
