Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.0837938562	0.0837938562	0.0837938562	0.0837938562	0	0	0	0	0	0	3
2	1	0	0.05	0.0837938292	0.0837938427	0.0837938292	0.0837938562	1.34937459e-08	0	0	0	0	0	3
3	1	0	0.075	0.0837937914	0.0837938256	0.0837937914	0.0837938562	3.05733939e-08	0	0	0	0	0	3
4	1	0	0.1	0.0837937973	0.0837938185	0.0837937914	0.0837938562	3.76389963e-08	0	0	0	0	0	3
5	1	0	0.125	0.0837938083	0.0837938165	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
6	1	0	0.15	0.0837938177	0.0837938167	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
7	1	0	0.175	0.0837938203	0.0837938172	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
8	2	0	0.2	0.0837938206	0.0837938176	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
9	2	0	0.225	0.083793821	0.083793818	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
10	2	0	0.25	0.0837938213	0.0837938183	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
11	2	0	0.275	0.0837938246	0.0837938189	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
12	2	0	0.3	0.0837938221	0.0837938192	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
13	2	0	0.325	0.0837938246	0.0837938196	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
14	2	0	0.35	0.0837938233	0.0837938199	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
15	2	0	0.375	0.0837938217	0.08379382	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
16	2	0	0.4	0.0837938211	0.08379382	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
17	3	0	0.425	0.083793821	0.0837938201	0.0837937914	0.0837938562	3.96850475e-08	0	0	0	0	0	3
