Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101324.949	101324.949	101324.949	101324.949	0	0	0	0	0	0	3
2	1	0	0.05	101324.937	101324.943	101324.937	101324.949	0.00619257688	0	0	0	0	0	3
3	1	0	0.075	101324.896	101324.927	101324.896	101324.949	0.0216742976	0	0	0	0	0	3
4	1	0	0.1	101324.904	101324.922	101324.896	101324.949	0.0274970836	0	0	0	0	0	3
5	1	0	0.125	101324.918	101324.921	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
6	1	0	0.15	101324.926	101324.922	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
7	1	0	0.175	101324.928	101324.922	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
8	2	0	0.2	101324.928	101324.923	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
9	2	0	0.225	101324.93	101324.924	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
10	2	0	0.25	101324.93	101324.925	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
11	2	0	0.275	101324.931	101324.925	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
12	2	0	0.3	101324.931	101324.926	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
13	2	0	0.325	101324.932	101324.926	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
14	2	0	0.35	101324.93	101324.926	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
15	2	0	0.375	101324.931	101324.927	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
16	2	0	0.4	101324.93	101324.927	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
17	3	0	0.425	101324.93	101324.927	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
18	3	0	0.45	101324.929	101324.927	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
19	3	0	0.475	101324.929	101324.927	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
20	3	0	0.5	101324.929	101324.927	101324.896	101324.949	0.0282572191	0	0	0	0	0	3
21	3	0	0.525	101324.929	101324.926	101324.896	101324.937	0.0220646422	0	0	0	0	0	3
22	3	0	0.55	101324.929	101324.926	101324.896	101324.932	0.0065829215	0	0	0	0	0	3
23	3	0	0.575	101324.93	101324.928	101324.904	101324.932	0.0067750078	0	0	0	0	0	3
24	3	0	0.6	101324.93	101324.929	101324.918	101324.932	0.00807178247	0	0	0	0	0	3
25	3	0	0.625	101324.931	101324.93	101324.926	101324.932	0.00612070963	0	0	0	0	0	3
26	4	0	0.65	101324.931	101324.93	101324.928	101324.932	0.00420918742	0	0	0	0	0	3
27	4	0	0.675	101324.932	101324.93	101324.928	101324.932	0.00327184769	0	0	0	0	0	3
28	4	0	0.7	101324.932	101324.93	101324.929	101324.932	0.0034366144	0	0	0	0	0	3
29	4	0	0.725	101324.933	101324.93	101324.929	101324.933	0.00419278171	0	0	0	0	0	3
30	4	0	0.75	101324.933	101324.93	101324.929	101324.933	0.00447733117	0	0	0	0	0	3
31	4	0	0.775	101324.933	101324.931	101324.929	101324.933	0.00454639088	0	0	0	0	0	3
32	4	0	0.8	101324.933	101324.931	101324.929	101324.933	0.00454639088	0	0	0	0	0	3
33	4	0	0.825	101324.933	101324.931	101324.929	101324.933	0.00460862073	0	0	0	0	0	3
34	4	0	0.85	101324.933	101324.931	101324.929	101324.933	0.00462704821	0	0	0	0	0	3
35	4	0	0.875	101324.933	101324.931	101324.929	101324.933	0.00466794058	0	0	0	0	0	3
36	5	0	0.9	101324.933	101324.931	101324.929	101324.933	0.00466794058	0	0	0	0	0	3
37	5	0	0.925	101324.933	101324.931	101324.929	101324.933	0.00470906601	0	0	0	0	0	3
38	5	0	0.95	101324.933	101324.932	101324.929	101324.933	0.00470906601	0	0	0	0	0	3
39	5	0	0.975	101324.933	101324.932	101324.929	101324.933	0.00452733731	0	0	0	0	0	3
40	5	0	1	101324.933	101324.932	101324.929	101324.933	0.00452733731	0.00523914121	0	100	0	0	3
41	5	0	1.025	101324.933	101324.932	101324.929	101324.933	0.00452733731	0.00523914121	0	100	0	0	3
42	5	0	1.05	101324.933	101324.932	101324.93	101324.933	0.00384254055	0.00523914121	0	100	0	0	3
43	5	0	1.075	101324.933	101324.933	101324.93	101324.933	0.00332918878	0.00523914121	0	100	0	0	3
44	5	0	1.1	101324.933	101324.933	101324.93	101324.933	0.00332918878	0.00523914121	0	100	0	0	3
45	6	0	1.125	101324.933	101324.933	101324.931	101324.933	0.00266494069	0.00523914121	0	100	0	0	3
46	6	0	1.15	101324.933	101324.933	101324.931	101324.933	0.00254941596	0.00523914121	0	100	0	0	3
47	6	0	1.175	101324.933	101324.933	101324.932	101324.933	0.00183088772	0.00523914121	0	100	0	0	3
48	6	0	1.2	101324.933	101324.933	101324.932	101324.933	0.00127245161	0.00523914121	0	100	0	0	3
49	6	0	1.225	101324.933	101324.933	101324.933	101324.933	0.000532474922	0.00523914121	0	100	0	0	3
50	6	0	1.25	101324.933	101324.933	101324.933	101324.933	0.00038663052	0.00523914121	0	100	0	0	3
51	6	0	1.275	101324.933	101324.933	101324.933	101324.933	0.00038663052	0.00523914121	0	100	0	0	3
52	6	0	1.3	101324.933	101324.933	101324.933	101324.933	0.00038663052	0.00523914121	0	100	0	0	3
