Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.19999	293.19999	293.19999	293.19999	0	0	0	0	0	0	3
2	1	0	0.05	293.19999	293.19999	293.19999	293.19999	9.95661935e-08	0	0	0	0	0	3
3	1	0	0.075	293.19999	293.19999	293.19999	293.19999	1.36728886e-07	0	0	0	0	0	3
4	1	0	0.1	293.19999	293.19999	293.19999	293.19999	1.61967705e-07	0	0	0	0	0	3
5	1	0	0.125	293.19999	293.19999	293.19999	293.19999	1.81596249e-07	0	0	0	0	0	3
6	1	0	0.15	293.19999	293.19999	293.19999	293.19999	1.95745827e-07	0	0	0	0	0	3
7	1	0	0.175	293.19999	293.19999	293.19999	293.19999	2.05781589e-07	0	0	0	0	0	3
8	2	0	0.2	293.19999	293.19999	293.19999	293.19999	2.1346392e-07	0	0	0	0	0	3
9	2	0	0.225	293.19999	293.19999	293.19999	293.19999	2.1795347e-07	0	0	0	0	0	3
10	2	0	0.25	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
11	2	0	0.275	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
12	2	0	0.3	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
13	2	0	0.325	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
14	2	0	0.35	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
15	2	0	0.375	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
16	2	0	0.4	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
17	3	0	0.425	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
18	3	0	0.45	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
19	3	0	0.475	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
20	3	0	0.5	293.19999	293.19999	293.19999	293.19999	2.20962534e-07	0	0	0	0	0	3
21	3	0	0.525	293.19999	293.19999	293.19999	293.19999	1.2139634e-07	0	0	0	0	0	3
22	3	0	0.55	293.199991	293.19999	293.19999	293.199991	1.25596216e-07	0	0	0	0	0	3
23	3	0	0.575	293.199991	293.19999	293.19999	293.199991	1.65435779e-07	0	0	0	0	0	3
24	3	0	0.6	293.199991	293.19999	293.19999	293.199991	2.14046224e-07	0	0	0	0	0	3
25	3	0	0.625	293.199991	293.19999	293.19999	293.199991	2.71303009e-07	0	0	0	0	0	3
26	4	0	0.65	293.199991	293.19999	293.19999	293.199991	3.40638053e-07	0	0	0	0	0	3
27	4	0	0.675	293.199991	293.19999	293.19999	293.199991	4.21523396e-07	0	0	0	0	0	3
28	4	0	0.7	293.199992	293.19999	293.19999	293.199992	5.14317946e-07	0	0	0	0	0	3
29	4	0	0.725	293.199992	293.19999	293.19999	293.199992	6.18350612e-07	0	0	0	0	0	3
30	4	0	0.75	293.199992	293.199991	293.19999	293.199992	7.3376998e-07	0	0	0	0	0	3
31	4	0	0.775	293.199992	293.199991	293.19999	293.199992	8.62945683e-07	0	0	0	0	0	3
32	4	0	0.8	293.199993	293.199991	293.19999	293.199993	1.00543139e-06	0	0	0	0	0	3
33	4	0	0.825	293.199993	293.199991	293.19999	293.199993	1.1609892e-06	0	0	0	0	0	3
34	4	0	0.85	293.199993	293.199991	293.19999	293.199993	1.32911464e-06	0	0	0	0	0	3
35	4	0	0.875	293.199994	293.199991	293.19999	293.199994	1.50737441e-06	0	0	0	0	0	3
36	5	0	0.9	293.199994	293.199992	293.19999	293.199994	1.70084155e-06	0	0	0	0	0	3
37	5	0	0.925	293.199994	293.199992	293.19999	293.199994	1.90743907e-06	0	0	0	0	0	3
38	5	0	0.95	293.199995	293.199992	293.19999	293.199995	2.1255874e-06	0	0	0	0	0	3
39	5	0	0.975	293.199995	293.199992	293.19999	293.199995	2.35271074e-06	0	0	0	0	0	3
40	5	0	1	293.199995	293.199993	293.19999	293.199995	2.59153603e-06	2.93199995e-06	0	0	0	0	3
41	5	0	1.025	293.199996	293.199993	293.199991	293.199996	2.823942e-06	2.93199996e-06	0	0	0	0	3
42	5	0	1.05	293.199996	293.199993	293.199991	293.199996	3.05604033e-06	2.93199996e-06	0	0	0	0	3
43	5	0	1.075	293.199996	293.199993	293.199991	293.199996	3.28357078e-06	2.93199996e-06	0	0	0	0	3
44	5	0	1.1	293.199996	293.199994	293.199991	293.199996	3.42773467e-06	2.93199996e-06	0	0	0	0	3
45	6	0	1.125	293.199997	293.199994	293.199991	293.199997	3.6430543e-06	2.93199997e-06	0	0	0	0	3
46	6	0	1.15	293.199997	293.199994	293.199991	293.199997	3.84524077e-06	2.93199997e-06	0	0	0	0	3
47	6	0	1.175	293.199997	293.199994	293.199991	293.199997	4.02937025e-06	2.93199997e-06	0	0	0	0	3
48	6	0	1.2	293.199997	293.199995	293.199992	293.199997	4.19469274e-06	2.93199997e-06	0	0	0	0	3
49	6	0	1.225	293.199997	293.199995	293.199992	293.199997	4.34055323e-06	2.93199997e-06	0	0	0	0	3
50	6	0	1.25	293.199997	293.199995	293.199992	293.199997	4.46608885e-06	2.93199997e-06	0	0	0	0	3
51	6	0	1.275	293.199997	293.199995	293.199992	293.199997	4.52762094e-06	2.93199997e-06	0	0	0	0	3
52	6	0	1.3	293.199997	293.199996	293.199993	293.199997	4.24610249e-06	2.93199997e-06	0	0	0	0	3
