Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101348.429	101348.429	101348.429	101348.429	0	0	0	0	0	0	3
2	1	0	0.05	101329.352	101338.891	101329.352	101348.429	9.53836319	0	0	0	0	0	3
3	1	0	0.075	101327.064	101334.949	101327.064	101348.429	13.4805432	0	0	0	0	0	3
4	1	0	0.1	101326.768	101332.903	101326.768	101348.429	15.5257903	0	0	0	0	0	3
5	1	0	0.125	101326.634	101331.649	101326.634	101348.429	16.7797299	0	0	0	0	0	3
6	2	0	0.15	101326.581	101330.805	101326.581	101348.429	17.62447	0	0	0	0	0	3
7	2	0	0.175	101326.522	101330.193	101326.522	101348.429	18.2362168	0	0	0	0	0	3
8	2	0	0.2	101326.512	101329.733	101326.512	101348.429	18.6963292	0	0	0	0	0	3
9	2	0	0.225	101326.476	101329.371	101326.476	101348.429	19.0582067	0	0	0	0	0	3
10	2	0	0.25	101326.467	101329.08	101326.467	101348.429	19.3486184	0	0	0	0	0	3
11	2	0	0.275	101326.448	101328.841	101326.448	101348.429	19.5879192	0	0	0	0	0	3
12	2	0	0.3	101326.431	101328.64	101326.431	101348.429	19.788778	0	0	0	0	0	3
13	2	0	0.325	101326.422	101328.47	101326.422	101348.429	19.9594099	0	0	0	0	0	3
14	2	0	0.35	101326.398	101328.322	101326.398	101348.429	20.1073626	0	0	0	0	0	3
15	2	0	0.375	101326.385	101328.193	101326.385	101348.429	20.236492	0	0	0	0	0	3
16	3	0	0.4	101326.358	101328.078	101326.358	101348.429	20.3511389	0	0	0	0	0	3
17	3	0	0.425	101326.336	101327.975	101326.336	101348.429	20.4536308	0	0	0	0	0	3
18	3	0	0.45	101326.316	101327.883	101326.316	101348.429	20.545823	0	0	0	0	0	3
19	3	0	0.475	101326.301	101327.8	101326.301	101348.429	20.6290802	0	0	0	0	0	3
