Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.000104229015	0.000104229015	0.000104229015	0.000104229015	0	0	0	0	0	0	3
2	1	0	0.05	6.53153622e-05	8.47721884e-05	6.53153622e-05	0.000104229015	1.94568262e-05	0	0	0	0	0	3
3	1	0	0.075	7.36548845e-06	5.89699551e-05	7.36548845e-06	0.000104229015	4.52590595e-05	0	0	0	0	0	3
4	1	0	0.1	2.16242041e-06	4.47680714e-05	2.16242041e-06	0.000104229015	5.94609432e-05	0	0	0	0	0	3
5	1	0	0.125	1.18328526e-05	3.81810277e-05	2.16242041e-06	0.000104229015	6.6047987e-05	0	0	0	0	0	3
6	2	0	0.15	-1.85038548e-05	2.87335472e-05	-1.85038548e-05	0.000104229015	7.54954674e-05	0	0	0	0	0	3
7	2	0	0.175	-6.97572299e-06	2.36322229e-05	-1.85038548e-05	0.000104229015	8.05967917e-05	0	0	0	0	0	3
8	2	0	0.2	-3.45643521e-06	2.02461407e-05	-1.85038548e-05	0.000104229015	8.3982874e-05	0	0	0	0	0	3
9	2	0	0.225	3.56204603e-05	2.19543984e-05	-1.85038548e-05	0.000104229015	8.3982874e-05	0	0	0	0	0	3
10	2	0	0.25	2.91541696e-05	2.26743755e-05	-1.85038548e-05	0.000104229015	8.3982874e-05	0	0	0	0	0	3
11	2	0	0.275	9.19233251e-05	2.89697346e-05	-1.85038548e-05	0.000104229015	8.3982874e-05	0	0	0	0	0	3
12	2	0	0.3	3.27141325e-05	2.92817677e-05	-1.85038548e-05	0.000104229015	8.3982874e-05	0	0	0	0	0	3
13	2	0	0.325	7.14176223e-05	3.25229873e-05	-1.85038548e-05	0.000104229015	8.3982874e-05	0	0	0	0	0	3
14	2	0	0.35	1.89809022e-05	3.15556955e-05	-1.85038548e-05	0.000104229015	8.3982874e-05	0	0	0	0	0	3
