Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.485595247	0.485595247	0.485595247	0.485595247	0	0	0	0	0	0	3
2	1	0	0.05	0.495514201	0.490554724	0.485595247	0.495514201	0.004959477	0	0	0	0	0	3
3	1	0	0.075	0.496386731	0.492498726	0.485595247	0.496386731	0.0069034795	0	0	0	0	0	3
4	1	0	0.1	0.498694799	0.494047745	0.485595247	0.498694799	0.00845249771	0	0	0	0	0	3
5	1	0	0.125	0.500477854	0.495333766	0.485595247	0.500477854	0.00973851962	0	0	0	0	0	3
6	2	0	0.15	0.502569319	0.496539692	0.485595247	0.502569319	0.0109444451	0	0	0	0	0	3
7	2	0	0.175	0.503759699	0.497571121	0.485595247	0.503759699	0.0119758746	0	0	0	0	0	3
8	2	0	0.2	0.504913158	0.498488876	0.485595247	0.504913158	0.0128936292	0	0	0	0	0	3
9	2	0	0.225	0.505410362	0.49925793	0.485595247	0.505410362	0.0136626832	0	0	0	0	0	3
10	2	0	0.25	0.505992497	0.499931387	0.485595247	0.505992497	0.0143361399	0	0	0	0	0	3
11	2	0	0.275	0.506444751	0.500523511	0.485595247	0.506444751	0.0149282639	0	0	0	0	0	3
12	2	0	0.3	0.506798987	0.501046467	0.485595247	0.506798987	0.0154512203	0	0	0	0	0	3
13	2	0	0.325	0.507102751	0.501512335	0.485595247	0.507102751	0.0159170883	0	0	0	0	0	3
14	2	0	0.35	0.507343106	0.501928819	0.485595247	0.507343106	0.0163335719	0	0	0	0	0	3
15	2	0	0.375	0.507588229	0.502306113	0.485595247	0.507588229	0.0167108659	0	0	0	0	0	3
16	3	0	0.4	0.507843735	0.502652214	0.485595247	0.507843735	0.0170569673	0	0	0	0	0	3
17	3	0	0.425	0.50804058	0.502969177	0.485595247	0.50804058	0.01737393	0	0	0	0	0	3
18	3	0	0.45	0.508221407	0.503260967	0.485595247	0.508221407	0.0176657205	0	0	0	0	0	3
19	3	0	0.475	0.508363211	0.503529506	0.485595247	0.508363211	0.0179342596	0	0	0	0	0	3
20	3	0	0.5	0.508483568	0.50377721	0.485595247	0.508483568	0.0181819627	0	0	0	0	0	3
21	3	0	0.525	0.508632139	0.504929054	0.495514201	0.508632139	0.0131179386	0	0	0	0	0	3
22	3	0	0.55	0.508733984	0.505590043	0.496386731	0.508733984	0.0123472524	0	0	0	0	0	3
23	3	0	0.575	0.508825906	0.506212002	0.498694799	0.508825906	0.0101311065	0	0	0	0	0	3
24	3	0	0.6	0.508877566	0.50672114	0.500477854	0.508877566	0.00839971192	0	0	0	0	0	3
25	3	0	0.625	0.508927408	0.507143618	0.502569319	0.508927408	0.00635808915	0	0	0	0	0	3
26	4	0	0.65	0.508983537	0.507464329	0.503759699	0.508983537	0.00522383861	0	0	0	0	0	3
27	4	0	0.675	0.509000028	0.507726345	0.504913158	0.509000028	0.00408687031	0	0	0	0	0	3
28	4	0	0.7	0.508993807	0.507930378	0.505410362	0.509000028	0.00358966653	0	0	0	0	0	3
29	4	0	0.725	0.509002025	0.508109961	0.505992497	0.509002025	0.00300952797	0	0	0	0	0	3
30	4	0	0.75	0.509026993	0.508261686	0.506444751	0.509026993	0.0025822424	0	0	0	0	0	3
31	4	0	0.775	0.509050549	0.508391976	0.506798987	0.509050549	0.0022515617	0	0	0	0	0	3
32	4	0	0.8	0.50905123	0.508504588	0.507102751	0.50905123	0.00194847868	0	0	0	0	0	3
33	4	0	0.825	0.509065953	0.508602748	0.507343106	0.509065953	0.00172284725	0	0	0	0	0	3
34	4	0	0.85	0.509096867	0.508690436	0.507588229	0.509096867	0.00150863792	0	0	0	0	0	3
35	4	0	0.875	0.509094813	0.508765765	0.507843735	0.509096867	0.00125313201	0	0	0	0	0	3
36	4	0	0.9	0.509160424	0.5088316	0.50804058	0.509160424	0.00111984469	0	0	0	0	0	3
37	5	0	0.925	0.509151978	0.50888717	0.508221407	0.509160424	0.000939017857	0	0	0	0	0	3
38	5	0	0.95	0.509133827	0.508932791	0.508363211	0.509160424	0.000797213509	0	0	0	0	0	3
39	5	0	0.975	0.509117996	0.50897053	0.508483568	0.509160424	0.000676855942	0	0	0	0	0	3
40	5	0	1	0.509099655	0.509001334	0.508632139	0.509160424	0.000528284938	0.00179403964	0	100	0	0	3
41	5	0	1.025	0.509091495	0.509024302	0.508733984	0.509160424	0.000426440634	0.00179403964	0	100	0	0	3
42	5	0	1.05	0.509077964	0.509041501	0.508825906	0.509160424	0.000334518753	0.00179403964	0	100	0	0	3
43	5	0	1.075	0.509060196	0.509053216	0.508877566	0.509160424	0.000282858378	0.00179403964	0	100	0	0	3
44	5	0	1.1	0.509055746	0.509053336	0.508877566	0.509160424	0.000282858378	0.00179403964	0	100	0	0	3
45	5	0	1.125	0.509058317	0.509061943	0.508927408	0.509160424	0.000233016113	0.00179403964	0	100	0	0	3
46	5	0	1.15	0.509045483	0.509067566	0.508983537	0.509160424	0.000176886914	0.00179403964	0	100	0	0	3
47	6	0	1.175	0.509059955	0.509071205	0.508993807	0.509160424	0.000166617485	0.00179403964	0	100	0	0	3
48	6	0	1.2	0.509062522	0.509074181	0.508993807	0.509160424	0.000166617485	0.00179403964	0	100	0	0	3
49	6	0	1.225	0.509043287	0.509076537	0.509002025	0.509160424	0.000158399356	0.00179403964	0	100	0	0	3
50	6	0	1.25	0.509055908	0.509079103	0.509026993	0.509160424	0.000133431099	0.00179403964	0	100	0	0	3
51	6	0	1.275	0.509034412	0.509079456	0.509034412	0.509160424	0.000126011989	0.00179403964	0	100	0	0	3
52	6	0	1.3	0.509035693	0.509078749	0.509034412	0.509160424	0.000126011989	0.00179403964	0	100	0	0	3
53	6	0	1.325	0.509084279	0.509080322	0.509034412	0.509160424	0.000126011989	0.00179403964	0	100	0	0	3
54	6	0	1.35	0.50906067	0.509080071	0.509034412	0.509160424	0.000126011989	0.00179403964	0	100	0	0	3
55	6	0	1.375	0.509029774	0.509076876	0.509029774	0.509160424	0.000130650122	0.00179403964	0	100	0	0	3
56	6	0	1.4	0.509006189	0.509072656	0.509006189	0.509160424	0.000154235204	0.00179403964	0	100	0	0	3
57	7	0	1.425	0.509043021	0.509067065	0.509006189	0.509151978	0.000145788807	0.00179403964	0	100	0	0	3
58	7	0	1.45	0.509025774	0.509061055	0.509006189	0.509133827	0.000127637425	0.00179403964	0	100	0	0	3
59	7	0	1.475	0.509023182	0.509055787	0.509006189	0.509117996	0.000109792444	0.00179403964	0	100	0	0	3
60	7	0	1.5	0.509009596	0.509050625	0.509006189	0.509099655	7.89881118e-05	0.00179403964	0	100	0	0	3
61	7	0	1.525	0.509039478	0.509047759	0.509006189	0.509091495	5.60203145e-05	0.00179403964	0	100	0	0	3
62	7	0	1.55	0.509038726	0.509045246	0.509006189	0.509084279	3.8821315e-05	0.00179403964	0	100	0	0	3
63	7	0	1.575	0.509036149	0.509043255	0.509006189	0.509084279	3.70672581e-05	0.00179403964	0	100	0	0	3
64	7	0	1.6	0.509059454	0.50904322	0.509006189	0.509084279	3.7102556e-05	0.00179403964	0	100	0	0	3
65	7	0	1.625	0.509044724	0.509042695	0.509006189	0.509084279	3.76273978e-05	0.00179403964	0	100	0	0	3
66	7	0	1.65	0.509037077	0.509041684	0.509006189	0.509084279	3.8638817e-05	0.00179403964	0	100	0	0	3
67	7	0	1.675	0.509019442	0.509040444	0.509006189	0.509084279	3.98788598e-05	0.00179403964	0	100	0	0	3
68	8	0	1.7	0.509032528	0.509039137	0.509006189	0.509084279	4.11849512e-05	0.00179403964	0	100	0	0	3
69	8	0	1.725	0.508997987	0.509036064	0.508997987	0.509084279	4.42580591e-05	0.00179403964	0	100	0	0	3
