Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	8.4872439e-05	8.4872439e-05	8.4872439e-05	8.4872439e-05	0	0	0	0	0	0	3
2	1	0	0.05	0.000116731067	0.000100801753	8.4872439e-05	0.000116731067	1.59293138e-05	0	0	0	0	0	3
3	1	0	0.075	0.000131856156	0.000111153221	8.4872439e-05	0.000131856156	2.62807816e-05	0	0	0	0	0	3
4	1	0	0.1	0.00011015133	0.000110902748	8.4872439e-05	0.000131856156	2.62807816e-05	0	0	0	0	0	3
5	1	0	0.125	8.96411932e-05	0.000106650437	8.4872439e-05	0.000131856156	2.62807816e-05	0	0	0	0	0	3
6	2	0	0.15	0.000140602425	0.000112309102	8.4872439e-05	0.000140602425	2.74366626e-05	0	0	0	0	0	3
7	2	0	0.175	0.00014082182	0.000116382347	8.4872439e-05	0.00014082182	3.15099081e-05	0	0	0	0	0	3
8	2	0	0.2	0.000125884875	0.000117570163	8.4872439e-05	0.00014082182	3.26977241e-05	0	0	0	0	0	3
9	2	0	0.225	0.000174870114	0.000123936824	8.4872439e-05	0.000174870114	3.90643853e-05	0	0	0	0	0	3
10	2	0	0.25	0.000141674095	0.000125710551	8.4872439e-05	0.000174870114	4.08381124e-05	0	0	0	0	0	3
11	2	0	0.275	0.000203636597	0.000132794737	8.4872439e-05	0.000203636597	4.79222983e-05	0	0	0	0	0	3
12	2	0	0.3	0.000164472189	0.000135434525	8.4872439e-05	0.000203636597	5.0562086e-05	0	0	0	0	0	3
13	2	0	0.325	0.000136873841	0.000135545242	8.4872439e-05	0.000203636597	5.06728026e-05	0	0	0	0	0	3
14	2	0	0.35	0.000165982221	0.000137719312	8.4872439e-05	0.000203636597	5.28468726e-05	0	0	0	0	0	3
15	2	0	0.375	0.000229376376	0.000143829783	8.4872439e-05	0.000229376376	5.89573436e-05	0	0	0	0	0	3
16	3	0	0.4	0.000240000354	0.000149840443	8.4872439e-05	0.000240000354	6.49680043e-05	0	0	0	0	0	3
17	3	0	0.425	0.000416828864	0.000165545644	8.4872439e-05	0.000416828864	8.06732055e-05	0	0	0	0	0	3
18	3	0	0.45	0.000524021311	0.000185460959	8.4872439e-05	0.000524021311	0.00010058852	0	0	0	0	0	3
19	3	0	0.475	0.00071898324	0.000213541079	8.4872439e-05	0.00071898324	0.00012866864	0	0	0	0	0	3
20	3	0	0.5	0.000905971953	0.000248162623	8.4872439e-05	0.000905971953	0.000163290184	0	0	0	0	0	3
21	3	0	0.525	0.00120967066	0.000304402534	8.96411932e-05	0.00120967066	0.000203600781	0	0	0	0	0	3
22	3	0	0.55	0.00143652733	0.000370392347	8.96411932e-05	0.00143652733	0.00026374191	0	0	0	0	0	3
23	3	0	0.575	0.00169219023	0.000448409051	8.96411932e-05	0.00169219023	0.000341758614	0	0	0	0	0	3
24	3	0	0.6	0.00181750332	0.00053377665	8.96411932e-05	0.00181750332	0.000427126214	0	0	0	0	0	3
25	3	0	0.625	0.00189274873	0.000623932027	0.000125884875	0.00189274873	0.000511622926	0	0	0	0	0	3
26	4	0	0.65	0.00195171045	0.000714487429	0.000125884875	0.00195171045	0.000598105081	0	0	0	0	0	3
27	4	0	0.675	0.00197686842	0.000806289758	0.000125884875	0.00197686842	0.000688719595	0	0	0	0	0	3
28	4	0	0.7	0.00203941368	0.000901966199	0.000136873841	0.00203941368	0.000778029374	0	0	0	0	0	3
29	4	0	0.725	0.00203205287	0.000994825337	0.000136873841	0.00203941368	0.000869114785	0	0	0	0	0	3
30	4	0	0.75	0.00199692121	0.00108758769	0.000136873841	0.00203941368	0.000954792955	0	0	0	0	0	3
