Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.493611462	0.493611462	0.493611462	0.493611462	0	0	0	0	0	0	3
2	1	0	0.05	0.501205191	0.497408326	0.493611462	0.501205191	0.00379686455	0	0	0	0	0	3
3	1	0	0.075	0.501002243	0.498606298	0.493611462	0.501205191	0.00499483663	0	0	0	0	0	3
4	1	0	0.1	0.502555847	0.499593686	0.493611462	0.502555847	0.00598222365	0	0	0	0	0	3
5	1	0	0.125	0.503726245	0.500420197	0.493611462	0.503726245	0.00680873546	0	0	0	0	0	3
6	2	0	0.15	0.505443453	0.501257407	0.493611462	0.505443453	0.0076459447	0	0	0	0	0	3
7	2	0	0.175	0.506378469	0.501988987	0.493611462	0.506378469	0.00837752508	0	0	0	0	0	3
8	2	0	0.2	0.507436473	0.502669923	0.493611462	0.507436473	0.00905846089	0	0	0	0	0	3
9	2	0	0.225	0.507852838	0.503245802	0.493611462	0.507852838	0.00963434041	0	0	0	0	0	3
10	2	0	0.25	0.508432456	0.503764468	0.493611462	0.508432456	0.0101530057	0	0	0	0	0	3
11	2	0	0.275	0.50883712	0.504225618	0.493611462	0.50883712	0.010614156	0	0	0	0	0	3
12	2	0	0.3	0.509189541	0.504639278	0.493611462	0.509189541	0.0110278163	0	0	0	0	0	3
13	2	0	0.325	0.509467029	0.505010644	0.493611462	0.509467029	0.0113991817	0	0	0	0	0	3
14	2	0	0.35	0.509694954	0.505345237	0.493611462	0.509694954	0.0117337753	0	0	0	0	0	3
15	2	0	0.375	0.509913035	0.505649757	0.493611462	0.509913035	0.0120382952	0	0	0	0	0	3
16	3	0	0.4	0.510153097	0.505931216	0.493611462	0.510153097	0.0123197539	0	0	0	0	0	3
17	3	0	0.425	0.5102763	0.506186809	0.493611462	0.5102763	0.0125753471	0	0	0	0	0	3
18	3	0	0.45	0.510441112	0.506423159	0.493611462	0.510441112	0.0128116973	0	0	0	0	0	3
19	3	0	0.475	0.510544561	0.506640075	0.493611462	0.510544561	0.0130286132	0	0	0	0	0	3
20	3	0	0.5	0.510647737	0.506840458	0.493611462	0.510647737	0.0132289963	0	0	0	0	0	3
21	3	0	0.525	0.510772628	0.507698516	0.501002243	0.510772628	0.00977038553	0	0	0	0	0	3
22	3	0	0.55	0.510830437	0.508179779	0.501002243	0.510830437	0.00957348027	0	0	0	0	0	3
23	3	0	0.575	0.51090537	0.508674935	0.502555847	0.51090537	0.00834952348	0	0	0	0	0	3
24	3	0	0.6	0.510953442	0.509094815	0.503726245	0.510953442	0.00722719709	0	0	0	0	0	3
25	3	0	0.625	0.51098676	0.509457841	0.505443453	0.51098676	0.00554330761	0	0	0	0	0	3
26	4	0	0.65	0.511015277	0.509736432	0.506378469	0.511015277	0.00463680813	0	0	0	0	0	3
27	4	0	0.675	0.511014357	0.509968226	0.507436473	0.511015277	0.00357880396	0	0	0	0	0	3
28	4	0	0.7	0.511001082	0.510146457	0.507852838	0.511015277	0.00316243894	0	0	0	0	0	3
29	4	0	0.725	0.511027737	0.510305202	0.508432456	0.511027737	0.00259528108	0	0	0	0	0	3
30	4	0	0.75	0.511035158	0.510435337	0.50883712	0.511035158	0.0021980378	0	0	0	0	0	3
31	4	0	0.775	0.511058638	0.510546413	0.509189541	0.511058638	0.00186909657	0	0	0	0	0	3
32	4	0	0.8	0.511029515	0.510638411	0.509467029	0.511058638	0.0015916091	0	0	0	0	0	3
33	4	0	0.825	0.511045879	0.510717354	0.509694954	0.511058638	0.00136368423	0	0	0	0	0	3
34	4	0	0.85	0.511036366	0.510784424	0.509913035	0.511058638	0.0011456024	0	0	0	0	0	3
35	4	0	0.875	0.511034352	0.51084049	0.510153097	0.511058638	0.000905540304	0	0	0	0	0	3
36	4	0	0.9	0.511076287	0.51088665	0.5102763	0.511076287	0.000799987106	0	0	0	0	0	3
37	5	0	0.925	0.511036609	0.510924665	0.510441112	0.511076287	0.000635174262	0	0	0	0	0	3
38	5	0	0.95	0.510989009	0.51095206	0.510544561	0.511076287	0.000531725726	0	0	0	0	0	3
39	5	0	0.975	0.51097216	0.51097344	0.510647737	0.511076287	0.000428549324	0	0	0	0	0	3
40	5	0	1	0.510913586	0.510986732	0.510772628	0.511076287	0.000303658565	0.00141487934	0	100	0	0	3
41	5	0	1.025	0.510927566	0.510994479	0.510830437	0.511076287	0.000245850168	0.00141487934	0	100	0	0	3
42	5	0	1.05	0.510887015	0.510997308	0.510887015	0.511076287	0.000189271821	0.00141487934	0	100	0	0	3
43	5	0	1.075	0.510867502	0.510995415	0.510867502	0.511076287	0.000208784435	0.00141487934	0	100	0	0	3
44	5	0	1.1	0.510859971	0.510988965	0.510859971	0.511076287	0.000216315413	0.00141487934	0	100	0	0	3
45	5	0	1.125	0.510874871	0.510985224	0.510859971	0.511076287	0.000216315413	0.00141487934	0	100	0	0	3
46	5	0	1.15	0.510833811	0.51097794	0.510833811	0.511076287	0.000242475729	0.00141487934	0	100	0	0	3
47	6	0	1.175	0.510854119	0.510970266	0.510833811	0.511076287	0.000242475729	0.00141487934	0	100	0	0	3
48	6	0	1.2	0.51084108	0.510962015	0.510833811	0.511076287	0.000242475729	0.00141487934	0	100	0	0	3
49	6	0	1.225	0.5108281	0.510953778	0.5108281	0.511076287	0.000248186765	0.00141487934	0	100	0	0	3
50	6	0	1.25	0.510828407	0.510944286	0.5108281	0.511076287	0.000248186765	0.00141487934	0	100	0	0	3
51	6	0	1.275	0.510805543	0.510933352	0.510805543	0.511076287	0.000270743498	0.00141487934	0	100	0	0	3
52	6	0	1.3	0.510815295	0.510921764	0.510805543	0.511076287	0.000270743498	0.00141487934	0	100	0	0	3
53	6	0	1.325	0.510847395	0.510913092	0.510805543	0.511076287	0.000270743498	0.00141487934	0	100	0	0	3
54	6	0	1.35	0.510834581	0.51090303	0.510805543	0.511076287	0.000212883764	0.00141487934	0	100	0	0	3
55	6	0	1.375	0.510792863	0.510891434	0.510792863	0.511076287	0.000156817927	0.00141487934	0	100	0	0	3
56	6	0	1.4	0.510791275	0.510879859	0.510791275	0.511076287	0.000117448992	0.00141487934	0	100	0	0	3
57	7	0	1.425	0.510813033	0.510867323	0.510791275	0.511036609	0.000129984902	0.00141487934	0	100	0	0	3
58	7	0	1.45	0.51078678	0.510855427	0.51078678	0.510989009	0.000141881503	0.00141487934	0	100	0	0	3
59	7	0	1.475	0.510776687	0.510845316	0.510776687	0.51097216	0.000151992048	0.00141487934	0	100	0	0	3
60	7	0	1.5	0.510771151	0.510835744	0.510771151	0.510927566	0.000156415237	0.00141487934	0	100	0	0	3
61	7	0	1.525	0.510818722	0.510831227	0.510771151	0.510927566	0.000156415237	0.00141487934	0	100	0	0	3
62	7	0	1.55	0.510797345	0.510825026	0.510771151	0.510887015	0.000115864369	0.00141487934	0	100	0	0	3
63	7	0	1.575	0.510800199	0.510820892	0.510771151	0.510874871	0.000103720604	0.00141487934	0	100	0	0	3
64	7	0	1.6	0.510825504	0.510818892	0.510771151	0.510874871	0.000103720604	0.00141487934	0	100	0	0	3
65	7	0	1.625	0.510828048	0.510817372	0.510771151	0.510874871	0.000103720604	0.00141487934	0	100	0	0	3
66	7	0	1.65	0.510806055	0.510814095	0.510771151	0.510854119	8.29684679e-05	0.00141487934	0	100	0	0	3
67	7	0	1.675	0.510771461	0.510811126	0.510771151	0.510854119	8.29684679e-05	0.00141487934	0	100	0	0	3
68	8	0	1.7	0.510796299	0.510808372	0.510771151	0.510847395	7.62443656e-05	0.00141487934	0	100	0	0	3
69	8	0	1.725	0.510786776	0.510805787	0.510771151	0.510847395	7.62443656e-05	0.00141487934	0	100	0	0	3
70	8	0	1.75	0.510713605	0.510800334	0.510713605	0.510847395	0.000133789546	0.00141487934	0	100	0	0	3
71	8	0	1.775	0.510775677	0.510797824	0.510713605	0.510847395	0.000133789546	0.00141487934	0	100	0	0	3
72	8	0	1.8	0.510801082	0.510797611	0.510713605	0.510847395	0.000124152899	0.00141487934	0	100	0	0	3
73	8	0	1.825	0.510809506	0.510797335	0.510713605	0.510847395	0.00011575619	0.00141487934	0	100	0	0	3
74	8	0	1.85	0.510775932	0.510793932	0.510713605	0.510834581	0.000109097376	0.00141487934	0	100	0	0	3
75	8	0	1.875	0.510809062	0.510792717	0.510713605	0.510828048	9.87171423e-05	0.00141487934	0	100	0	0	3
