Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101348.262	101348.262	101348.262	101348.262	0	0	0	0	0	0	3
2	1	0	0.05	101329.182	101338.722	101329.182	101348.262	9.54006867	0	0	0	0	0	3
3	1	0	0.075	101326.895	101334.779	101326.895	101348.262	13.482402	0	0	0	0	0	3
4	1	0	0.1	101326.598	101332.734	101326.598	101348.262	15.5277426	0	0	0	0	0	3
5	1	0	0.125	101326.464	101331.48	101326.464	101348.262	16.7817319	0	0	0	0	0	3
6	2	0	0.15	101326.411	101330.635	101326.411	101348.262	17.6265563	0	0	0	0	0	3
7	2	0	0.175	101326.353	101330.023	101326.353	101348.262	18.2383714	0	0	0	0	0	3
8	2	0	0.2	101326.342	101329.563	101326.342	101348.262	18.6985694	0	0	0	0	0	3
9	2	0	0.225	101326.306	101329.201	101326.306	101348.262	19.0605183	0	0	0	0	0	3
10	2	0	0.25	101326.296	101328.911	101326.296	101348.262	19.3510059	0	0	0	0	0	3
11	2	0	0.275	101326.278	101328.671	101326.278	101348.262	19.590372	0	0	0	0	0	3
12	2	0	0.3	101326.26	101328.471	101326.26	101348.262	19.791295	0	0	0	0	0	3
13	2	0	0.325	101326.251	101328.3	101326.251	101348.262	19.9619901	0	0	0	0	0	3
14	2	0	0.35	101326.228	101328.152	101326.228	101348.262	20.1100081	0	0	0	0	0	3
15	2	0	0.375	101326.214	101328.023	101326.214	101348.262	20.2392051	0	0	0	0	0	3
16	3	0	0.4	101326.187	101327.908	101326.187	101348.262	20.3539271	0	0	0	0	0	3
17	3	0	0.425	101326.164	101327.805	101326.164	101348.262	20.4564966	0	0	0	0	0	3
18	3	0	0.45	101326.144	101327.713	101326.144	101348.262	20.5487711	0	0	0	0	0	3
19	3	0	0.475	101326.13	101327.63	101326.13	101348.262	20.6321119	0	0	0	0	0	3
20	3	0	0.5	101326.119	101327.554	101326.119	101348.262	20.7076543	0	0	0	0	0	3
21	3	0	0.525	101326.105	101326.446	101326.105	101329.182	3.07712192	0	0	0	0	0	3
22	3	0	0.55	101326.097	101326.292	101326.097	101326.895	0.797793006	0	0	0	0	0	3
23	3	0	0.575	101326.095	101326.252	101326.095	101326.598	0.502810686	0	0	0	0	0	3
24	3	0	0.6	101326.088	101326.227	101326.088	101326.464	0.376385904	0	0	0	0	0	3
25	3	0	0.625	101326.086	101326.208	101326.086	101326.411	0.325640736	0	0	0	0	0	3
26	4	0	0.65	101326.081	101326.191	101326.081	101326.353	0.271764236	0	0	0	0	0	3
27	4	0	0.675	101326.081	101326.178	101326.081	101326.342	0.261070408	0	0	0	0	0	3
28	4	0	0.7	101326.081	101326.165	101326.081	101326.306	0.224916095	0	0	0	0	0	3
29	4	0	0.725	101326.083	101326.153	101326.081	101326.296	0.215632127	0	0	0	0	0	3
30	4	0	0.75	101326.08	101326.143	101326.08	101326.278	0.198073401	0	0	0	0	0	3
31	4	0	0.775	101326.08	101326.133	101326.08	101326.26	0.180659466	0	0	0	0	0	3
32	4	0	0.8	101326.079	101326.124	101326.079	101326.251	0.172303872	0	0	0	0	0	3
33	4	0	0.825	101326.077	101326.115	101326.077	101326.228	0.150806147	0	0	0	0	0	3
34	4	0	0.85	101326.073	101326.107	101326.073	101326.214	0.141321285	0	0	0	0	0	3
